ref_order_index	candidate_projected_order_index	gene	ref_start	ref_end	ref_strand	candidate_projected_start	candidate_projected_end	candidate_projected_strand	projection_orientation	projected_query_coverage	block_order_status	ir_copy_note
88	128	trnI-CAU	84689	84762	-	148076	148149	+	-	1.000000	shifted_or_reordered_opposite_strand	IR_A_or_boundary
89	126	ycf2	84856	91617	+	141212	147982	-	-	1.000000	shifted_or_reordered_opposite_strand	IR_A_or_boundary
90	124	ycf15	91759	92195	+	140634	141070	-	-	1.000000	shifted_or_reordered_opposite_strand	IR_A_or_boundary
91	122	trnL-CAA	92607	92685	-	140146	140224	+	-	1.000000	shifted_or_reordered_opposite_strand	IR_A_or_boundary
92	120	ndhB	93245	95455	-	137376	139586	+	-	1.000000	shifted_or_reordered_opposite_strand	IR_A_or_boundary
93	118	rps7	95776	96243	-	136588	137055	+	-	1.000000	shifted_or_reordered_opposite_strand	IR_A_or_boundary
94	116	trnV-GAC	98336	98407	+	134424	134495	-	-	1.000000	shifted_or_reordered_opposite_strand	IR_A_or_boundary
95	115	rrn16	98635	100124	+	132707	134196	-	-	1.000000	shifted_or_reordered_opposite_strand	IR_A_or_boundary
96	112	trnI-GAU	100421	101435	+	131396	132412	-	-	1.000000	shifted_or_reordered_opposite_strand	IR_A_or_boundary
97	110	trnA-UGC	101504	102410	+	130422	131327	-	-	0.998897	shifted_or_reordered_opposite_strand	IR_A_or_boundary
98	108	rrn23	102563	105371	+	127460	130269	-	-	1.000000	shifted_or_reordered_opposite_strand	IR_A_or_boundary
99	106	rrn4.5	105470	105572	+	127259	127361	-	-	1.000000	shifted_or_reordered_opposite_strand	IR_A_or_boundary
100	104	rrn5	105792	105912	+	126919	127039	-	-	1.000000	shifted_or_reordered_opposite_strand	IR_A_or_boundary
101	102	trnR-ACG	106144	106217	+	126614	126687	-	-	1.000000	shifted_or_reordered_opposite_strand	IR_A_or_boundary
102	100	trnN-GUU	106810	106882	-	125949	126021	+	-	1.000000	shifted_or_reordered_opposite_strand	IR_A_or_boundary
103	98	ycf1	107210	108353	+	124481	125621	-	-	0.997378	shifted_or_reordered_opposite_strand	IR_A_or_boundary
104	97	ndhF	108274	110478	-	122356	124558	+	-	0.999093	shifted_or_reordered_opposite_strand	IR_A_or_boundary
105	96	rpl32	111096	111254	+	121589	121747	-	-	1.000000	shifted_or_reordered_opposite_strand	single_copy_region
106	95	trnL-UAG	111722	111801	+	121044	121123	-	-	1.000000	shifted_or_reordered_opposite_strand	single_copy_region
107	94	ccsA	111873	112832	+	120015	120972	-	-	0.997917	shifted_or_reordered_opposite_strand	single_copy_region
108	93	ndhD	113099	114604	-	118255	119759	+	-	0.999336	shifted_or_reordered_opposite_strand	single_copy_region
109	92	psaC	114734	114979	-	117882	118127	+	-	1.000000	shifted_or_reordered_opposite_strand	single_copy_region
110	91	ndhE	115284	115589	-	117272	117577	+	-	1.000000	shifted_or_reordered_opposite_strand	single_copy_region
111	90	ndhG	115765	116295	-	116566	117096	+	-	1.000000	shifted_or_reordered_opposite_strand	single_copy_region
112	89	ndhI	116540	117043	-	115818	116321	+	-	1.000000	shifted_or_reordered_opposite_strand	single_copy_region
113	88	ndhA	117121	119204	-	113660	115740	+	-	0.998081	shifted_or_reordered_opposite_strand	single_copy_region
114	87	ndhH	119206	120402	-	112462	113658	+	-	1.000000	shifted_or_reordered_opposite_strand	single_copy_region
115	86	rps15	120479	120757	-	112107	112385	+	-	1.000000	shifted_or_reordered_opposite_strand	single_copy_region
116	99	ycf1	125891	126106	-	125378	125593	-	+	1.000000	shifted_or_reordered_same_orientation	IR_B_or_boundary
117	101	trnN-GUU	126462	126534	+	125949	126021	+	+	1.000000	shifted_or_reordered_same_orientation	IR_B_or_boundary
118	103	trnR-ACG	127127	127200	-	126614	126687	-	+	1.000000	shifted_or_reordered_same_orientation	IR_B_or_boundary
119	105	rrn5	127432	127552	-	126919	127039	-	+	1.000000	shifted_or_reordered_same_orientation	IR_B_or_boundary
120	107	rrn4.5	127772	127874	-	127259	127361	-	+	1.000000	shifted_or_reordered_same_orientation	IR_B_or_boundary
121	109	rrn23	127973	130781	-	127460	130269	-	+	1.000000	shifted_or_reordered_same_orientation	IR_B_or_boundary
122	111	trnA-UGC	130934	131840	-	130422	131327	-	+	0.998897	shifted_or_reordered_same_orientation	IR_B_or_boundary
123	113	trnI-GAU	131909	132923	-	131396	132412	-	+	1.000000	shifted_or_reordered_same_orientation	IR_B_or_boundary
124	114	rrn16	133219	134708	-	132706	134195	-	+	1.000000	shifted_or_reordered_same_orientation	IR_B_or_boundary
125	117	trnV-GAC	134937	135008	-	134424	134495	-	+	1.000000	shifted_or_reordered_same_orientation	IR_B_or_boundary
126	119	rps7	137101	137568	+	136588	137055	+	+	1.000000	shifted_or_reordered_same_orientation	IR_B_or_boundary
127	121	ndhB	137889	140099	+	137376	139586	+	+	1.000000	shifted_or_reordered_same_orientation	IR_B_or_boundary
128	123	trnL-CAA	140659	140737	+	140146	140224	+	+	1.000000	shifted_or_reordered_same_orientation	IR_B_or_boundary
129	125	ycf15	141149	141585	-	140634	141070	-	+	1.000000	shifted_or_reordered_same_orientation	IR_B_or_boundary
130	127	ycf2	141727	148488	-	141212	147982	-	+	1.000000	shifted_or_reordered_same_orientation	IR_B_or_boundary
131	129	trnI-CAU	148582	148655	+	148076	148149	+	+	1.000000	shifted_or_reordered_same_orientation	IR_B_or_boundary
132	131	rpl23	148821	149102	+	148315	148596	+	+	1.000000	shifted_or_reordered_same_orientation	IR_B_or_boundary
133	133	rpl2	149126	150616	+	148620	150110	+	+	1.000000	collinear_same_orientation	IR_B_or_boundary
134	134	rps19	150671	150780	+	150165	150274	+	+	1.000000	collinear_same_orientation	IR_B_or_boundary
