sample	organelle	accession	description	length_bp	gc_percent	gene_features	unique_gene_names	cds_features	unique_cds_genes	trna_features	unique_trna_genes	rrna_features	unique_rrna_genes	source
CM082116.1	mitochondria	CM082116.1	Rhodiola kirilowii isolate R_Ki mitochondrion, complete sequence, whole genome shotgun sequence	79921	45.305	7	7	7	7	0	0	0	0	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/references/mitochondria_references.gb
PP024540.1	mitochondria	PP024540.1	Rhodiola rosea mitochondrion, complete genome	259150	44.876	60	46	35	31	21	12	4	3	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/references/mitochondria_references.gb
NC_082108.1	mitochondria	NC_082108.1	Rhodiola juparensis mitochondrion, complete genome	202019	44.584	41	38	27	27	11	8	3	3	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/references/mitochondria_references.gb
OR188139.1	mitochondria	OR188139.1	Rhodiola juparensis mitochondrion, complete genome	202019	44.584	41	38	27	27	11	8	3	3	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/references/mitochondria_references.gb
NC_072122.1	mitochondria	NC_072122.1	Rhodiola tangutica mitochondrion, complete genome	257378	44.242	51	43	31	31	15	7	3	3	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/references/mitochondria_references.gb
NC_070303.1	mitochondria	NC_070303.1	Rhodiola crenulata mitochondrion, complete genome	194106	45.21	33	31	22	22	8	6	3	3	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/references/mitochondria_references.gb
NC_069572.1	mitochondria	NC_069572.1	Sedum plumbizincicola voucher KPBK001 mitochondrion, complete genome	212159	44.506	59	53	31	31	14	9	3	3	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/references/mitochondria_references.gb
OP573219.1	mitochondria	OP573219.1	Rhodiola tangutica mitochondrion, complete genome	257378	44.242	51	43	31	31	15	7	3	3	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/references/mitochondria_references.gb
OP312071.1	mitochondria	OP312071.1	Rhodiola sacra chromosome 2 mitochondrion, complete sequence	80447	44.862	18	17	15	15	3	2	0	0	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/references/mitochondria_references.gb
OP312070.1	mitochondria	OP312070.1	Rhodiola sacra chromosome 1 mitochondrion, complete sequence	128593	45.32	19	19	12	12	4	4	3	3	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/references/mitochondria_references.gb
OP312069.1	mitochondria	OP312069.1	Rhodiola wallichiana chromosome 2 mitochondrion, complete sequence	82073	44.932	19	19	13	13	6	6	0	0	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/references/mitochondria_references.gb
OP312068.1	mitochondria	OP312068.1	Rhodiola wallichiana chromosome 1 mitochondrion, complete sequence	118787	45.236	24	20	14	14	7	3	3	3	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/references/mitochondria_references.gb
OP312067.1	mitochondria	OP312067.1	Rhodiola crenulata mitochondrion, complete genome	194106	45.21	33	31	22	22	8	6	3	3	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/references/mitochondria_references.gb
OP588116.1	mitochondria	OP588116.1	Sedum plumbizincicola voucher KPBK001 mitochondrion, complete genome	212159	44.506	59	53	31	31	14	9	3	3	/home/neil/Downloads/dudleya/Dudleya_S_genomes/gateVER/references/mitochondria_references.gb
