organelle	sample_1	sample_2	differences	sites_compared	p_distance
mitochondria	ABAB_MAD_LP_223_Du-590	COM_LP_272_Du-707	28	38962	0.000718648939993
mitochondria	ABAB_MAD_LP_223_Du-590	COM_LP_274_Du-709	29	38963	0.000744295870441
mitochondria	ABAB_MAD_LP_223_Du-590	COM_LP_276_Du-711	28	38960	0.000718685831622
mitochondria	ABAB_MAD_LP_223_Du-590	COM_LP_277_Du-712	29	38959	0.000744372288816
mitochondria	ABAB_MAD_LP_223_Du-590	COM_LP_341_Du-713	28	38957	0.000718741176169
mitochondria	ABAB_MAD_LP_223_Du-590	COM_LP_342_Du-714	28	38957	0.000718741176169
mitochondria	ABAB_MAD_LP_223_Du-590	COM_LP_343_Du-715	29	38960	0.000744353182752
mitochondria	ABAB_MAD_LP_223_Du-590	CROB_LP_169_Du-381	16	37992	0.000421141292904
mitochondria	ABAB_MAD_LP_223_Du-590	CROB_LP_170_Du-382	22	38963	0.000564638246542
mitochondria	ABAB_MAD_LP_223_Du-590	CROB_LP_172_Du-384	24	38958	0.000616048051748
mitochondria	ABAB_MAD_LP_223_Du-590	CROB_LP_173_Du-385	22	38959	0.000564696219102
mitochondria	ABAB_MAD_LP_223_Du-590	CROB_LP_174_Du-386	22	38962	0.000564652738566
mitochondria	ABAB_MAD_LP_223_Du-590	CROB_LP_175_Du-387	22	38959	0.000564696219102
mitochondria	ABAB_MAD_LP_223_Du-590	CROB_LP_176_Du-388	22	38963	0.000564638246542
mitochondria	ABAB_MAD_LP_223_Du-590	CROB_LP_177_Du-389	22	38962	0.000564652738566
mitochondria	ABAB_MAD_LP_223_Du-590	CROB_LP_320_Du-395	22	38959	0.000564696219102
mitochondria	ABAB_MAD_LP_223_Du-590	CROB_LP_321_Du-396	22	38959	0.000564696219102
mitochondria	ABAB_MAD_LP_223_Du-590	CROS_LP_085_Du-181	22	38963	0.000564638246542
mitochondria	ABAB_MAD_LP_223_Du-590	CROS_LP_086_Du-182	22	38963	0.000564638246542
mitochondria	ABAB_MAD_LP_223_Du-590	CROS_LP_087_Du-183	22	38962	0.000564652738566
mitochondria	ABAB_MAD_LP_223_Du-590	CROS_LP_088_Du-184	22	38963	0.000564638246542
mitochondria	ABAB_MAD_LP_223_Du-590	CROS_LP_089_Du-185	21	38963	0.000538972871699
mitochondria	ABAB_MAD_LP_223_Du-590	CROS_LP_090_Du-186	22	38963	0.000564638246542
mitochondria	ABAB_MAD_LP_223_Du-590	CROS_LP_091_Du-187	24	38960	0.000616016427105
mitochondria	ABAB_MAD_LP_223_Du-590	CROS_LP_092_Du-188	24	38956	0.000616079679639
mitochondria	ABAB_MAD_LP_223_Du-590	CROS_LP_093_Du-189	23	38963	0.000590303621384
mitochondria	ABAB_MAD_LP_223_Du-590	CROS_LP_094_Du-190	24	38957	0.000616063865287
mitochondria	ABAB_MAD_LP_223_Du-590	CY_ALA_LP_298-Du-767	23	38957	0.000590394537567
mitochondria	ABAB_MAD_LP_223_Du-590	CY_ALA_LP_299-Du-768	23	38959	0.000590364229061
mitochondria	ABAB_MAD_LP_223_Du-590	CY_ALA_LP_357_Du-769	23	38960	0.000590349075975
mitochondria	ABAB_MAD_LP_223_Du-590	CY_BAL_LP_226_Du-602	33	38667	0.000853440918613
mitochondria	ABAB_MAD_LP_223_Du-590	CY_BAL_LP_227_Du-603	31	38440	0.000806451612903
mitochondria	ABAB_MAD_LP_223_Du-590	CY_BGL_LP_210_Du-577	32	38953	0.000821502836752
mitochondria	ABAB_MAD_LP_223_Du-590	CY_BGL_LP_212_Du-579	32	38951	0.0008215450181
mitochondria	ABAB_MAD_LP_223_Du-590	CY_BOU_LP_288_Du-737	19	38380	0.00049504950495
mitochondria	ABAB_MAD_LP_223_Du-590	CY_BOU_LP_290_Du-739	20	38958	0.000513373376457
mitochondria	ABAB_MAD_LP_223_Du-590	CY_BOU_LP_291_Du-740	20	38958	0.000513373376457
mitochondria	ABAB_MAD_LP_223_Du-590	CY_BOU_LP_292_Du-741	20	38958	0.000513373376457
mitochondria	ABAB_MAD_LP_223_Du-590	CY_BOU_LP_354_Du-742	20	38958	0.000513373376457
mitochondria	ABAB_MAD_LP_223_Du-590	CY_CAS_LP_328_Du-610	39	38948	0.00100133511348
mitochondria	ABAB_MAD_LP_223_Du-590	CY_CAS_LP_329_Du-611	20	38958	0.000513373376457
mitochondria	ABAB_MAD_LP_223_Du-590	CY_CAS_LP_330_Du-607	19	38863	0.000488896894218
mitochondria	ABAB_MAD_LP_223_Du-590	CY_CAS_LP_331_Du-608	20	38954	0.000513426092314
mitochondria	ABAB_MAD_LP_223_Du-590	CY_CAS_LP_332_Du-609	20	38959	0.000513360199184
mitochondria	ABAB_MAD_LP_223_Du-590	CY_HICN_LP_236_Du-614	40	38958	0.00102674675291
mitochondria	ABAB_MAD_LP_223_Du-590	CY_HICN_LP_333_Du-612	35	38953	0.000898518727697
mitochondria	ABAB_MAD_LP_223_Du-590	CY_HICN_LP_334_Du-613	40	38958	0.00102674675291
mitochondria	ABAB_MAD_LP_223_Du-590	CY_HICN_LP_335_Du-615	40	38957	0.00102677310881
mitochondria	ABAB_MAD_LP_223_Du-590	CY_HICN_LP_336_Du-616	41	38957	0.00105244243653
mitochondria	ABAB_MAD_LP_223_Du-590	CY_HICS_LP_293_Du-757	20	38958	0.000513373376457
mitochondria	ABAB_MAD_LP_223_Du-590	CY_HICS_LP_297_Du-761	17	38474	0.000441856838384
mitochondria	ABAB_MAD_LP_223_Du-590	CY_HICS_LP_355_Du-762	20	38958	0.000513373376457
mitochondria	ABAB_MAD_LP_223_Du-590	CY_HICS_LP_356_Du-763	20	38960	0.000513347022587
mitochondria	ABAB_MAD_LP_223_Du-590	CY_HUN_LP_264_Du-683	32	37739	0.000847929197912
mitochondria	ABAB_MAD_LP_223_Du-590	CY_HUN_LP_266_Du-685	34	38763	0.000877125093517
mitochondria	ABAB_MAD_LP_223_Du-590	CY_HUN_LP_267_Du-686	33	38623	0.000854413173498
mitochondria	ABAB_MAD_LP_223_Du-590	CY_HUN_LP_268_Du-687	32	37276	0.000858461208284
mitochondria	ABAB_MAD_LP_223_Du-590	CY_SIE_LP_188_Du-445	40	38962	0.00102664134285
mitochondria	ABAB_MAD_LP_223_Du-590	CY_SIE_LP_189_Du-446	41	38963	0.00105228036855
mitochondria	ABAB_MAD_LP_223_Du-590	CY_SIE_LP_190_Du-447	40	38957	0.00102677310881
mitochondria	ABAB_MAD_LP_223_Du-590	CY_SIE_LP_191_Du-448	20	38959	0.000513360199184
mitochondria	ABAB_MAD_LP_223_Du-590	CY_WOO_LP_259_Du-664	20	38959	0.000513360199184
mitochondria	ABAB_MAD_LP_223_Du-590	CY_WOO_LP_260_Du-665	20	38913	0.000513967054712
mitochondria	ABAB_MAD_LP_223_Du-590	CY_WOO_LP_261_Du-667	18	36591	0.000491924243666
mitochondria	ABAB_MAD_LP_223_Du-590	CY_WOO_LP_262_Du-668	20	38958	0.000513373376457
mitochondria	ABAB_MAD_LP_223_Du-590	CY_WOO_LP_263_Du-669	20	38961	0.000513333846667
mitochondria	ABAB_MAD_LP_223_Du-590	DAN_LP_043_Du-68	28	38833	0.000721036232071
mitochondria	ABAB_MAD_LP_223_Du-590	DAN_LP_044_Du-69	27	38829	0.000695356563393
mitochondria	ABAB_MAD_LP_223_Du-590	DAN_LP_045_Du-70	27	38834	0.000695267034042
mitochondria	ABAB_MAD_LP_223_Du-590	DAN_LP_046_Du-71	28	38835	0.000720999098751
mitochondria	ABAB_MAD_LP_223_Du-590	DAN_LP_047_Du-72	27	38829	0.000695356563393
mitochondria	ABAB_MAD_LP_223_Du-590	DOV_LP_078_Du-174	23	38850	0.000592020592021
mitochondria	ABAB_MAD_LP_223_Du-590	DOV_LP_079_Du-175	23	38959	0.000590364229061
mitochondria	ABAB_MAD_LP_223_Du-590	DOV_LP_080_Du-176	23	38963	0.000590303621384
mitochondria	ABAB_MAD_LP_223_Du-590	DOV_LP_081_Du-177	23	38963	0.000590303621384
mitochondria	ABAB_MAD_LP_223_Du-590	DOV_LP_082_Du-178	23	38956	0.000590409692987
mitochondria	ABAB_MAD_LP_223_Du-590	DOV_LP_083_Du-179	23	38963	0.000590303621384
mitochondria	ABAB_MAD_LP_223_Du-590	DOV_LP_084_Du-180	23	38963	0.000590303621384
mitochondria	ABAB_MAD_LP_223_Du-590	DU-173	25	38824	0.000643931588708
mitochondria	ABAB_MAD_LP_223_Du-590	DU-229	24	38956	0.000616079679639
mitochondria	ABAB_MAD_LP_223_Du-590	DU-247	22	38963	0.000564638246542
mitochondria	ABAB_MAD_LP_223_Du-590	DU-254	22	38963	0.000564638246542
mitochondria	ABAB_MAD_LP_223_Du-590	DU-270	25	38953	0.000641799091212
mitochondria	ABAB_MAD_LP_223_Du-590	DU-297	22	38963	0.000564638246542
mitochondria	ABAB_MAD_LP_223_Du-590	DU-443	41	38963	0.00105228036855
mitochondria	ABAB_MAD_LP_223_Du-590	DU-4A	22	38963	0.000564638246542
mitochondria	ABAB_MAD_LP_223_Du-590	DU014LP012	20	38963	0.000513307496856
mitochondria	ABAB_MAD_LP_223_Du-590	DU037LP013	20	38963	0.000513307496856
mitochondria	ABAB_MAD_LP_223_Du-590	DU059LP015	24	38953	0.000616127127564
mitochondria	ABAB_MAD_LP_223_Du-590	DU078LP011	29	38836	0.000746729838294
mitochondria	ABAB_MAD_LP_223_Du-590	DU079LP010	29	38855	0.000746364689229
mitochondria	ABAB_MAD_LP_223_Du-590	DUD_LP_132_Du-283	22	38937	0.000565015281095
mitochondria	ABAB_MAD_LP_223_Du-590	DUD_LP_133_Du-284	22	38959	0.000564696219102
mitochondria	ABAB_MAD_LP_223_Du-590	DUD_LP_134_Du-285	22	38959	0.000564696219102
mitochondria	ABAB_MAD_LP_223_Du-590	DUD_LP_135_Du-286	22	38959	0.000564696219102
mitochondria	ABAB_MAD_LP_223_Du-590	DUD_LP_136_Du-287	22	38960	0.000564681724846
mitochondria	ABAB_MAD_LP_223_Du-590	DUD_LP_137_Du-288	21	38961	0.000539000539001
mitochondria	ABAB_MAD_LP_223_Du-590	DUD_LP_138_Du-289	22	38958	0.000564710714102
mitochondria	ABAB_MAD_LP_223_Du-590	DUD_LP_139_Du-290	22	38467	0.000571918787532
mitochondria	ABAB_MAD_LP_223_Du-590	KIRN_LP_179_Du-421	23	38962	0.000590318772137
mitochondria	ABAB_MAD_LP_223_Du-590	KIRN_LP_180_Du-422	23	38960	0.000590349075975
mitochondria	ABAB_MAD_LP_223_Du-590	KIRN_LP_181_Du-423	23	38959	0.000590364229061
mitochondria	ABAB_MAD_LP_223_Du-590	KIRN_LP_182_Du-424	23	38960	0.000590349075975
mitochondria	ABAB_MAD_LP_223_Du-590	KIRN_LP_183_Du-425	23	38958	0.000590379382925
mitochondria	ABAB_MAD_LP_223_Du-590	KIRN_LP_184_Du-426	23	38961	0.000590333923667
mitochondria	ABAB_MAD_LP_223_Du-590	KIRN_LP_185_Du-427	23	38959	0.000590364229061
mitochondria	ABAB_MAD_LP_223_Du-590	KIRN_LP_186_Du-428	23	38959	0.000590364229061
mitochondria	ABAB_MAD_LP_223_Du-590	KIRN_LP_187_Du-429	23	38959	0.000590364229061
mitochondria	ABAB_MAD_LP_223_Du-590	KIRT_LP_159_Du-364	23	38962	0.000590318772137
mitochondria	ABAB_MAD_LP_223_Du-590	KIRT_LP_160_Du-365	23	38960	0.000590349075975
mitochondria	ABAB_MAD_LP_223_Du-590	KIRT_LP_161_Du-366	23	38962	0.000590318772137
mitochondria	ABAB_MAD_LP_223_Du-590	KIRT_LP_162_Du-367	23	38962	0.000590318772137
mitochondria	ABAB_MAD_LP_223_Du-590	KIRT_LP_163_Du-368	23	38962	0.000590318772137
mitochondria	ABAB_MAD_LP_223_Du-590	KIRT_LP_164_Du-369	23	38963	0.000590303621384
mitochondria	ABAB_MAD_LP_223_Du-590	KIRT_LP_165_Du-370	23	38963	0.000590303621384
mitochondria	ABAB_MAD_LP_223_Du-590	KIRT_LP_166_Du-371	23	38963	0.000590303621384
mitochondria	ABAB_MAD_LP_223_Du-590	KIRT_LP_167_Du-372	23	38923	0.000590910258716
mitochondria	ABAB_MAD_LP_223_Du-590	KIRT_LP_168_Du-373	23	38963	0.000590303621384
mitochondria	ABAB_MAD_LP_223_Du-590	MALV_LP_095_Du-201	24	38963	0.000615968996227
mitochondria	ABAB_MAD_LP_223_Du-590	MALV_LP_096_Du-202	24	38963	0.000615968996227
mitochondria	ABAB_MAD_LP_223_Du-590	MALV_LP_097_Du-203	24	38963	0.000615968996227
mitochondria	ABAB_MAD_LP_223_Du-590	MALV_LP_098_Du-204	24	38962	0.000615984805708
mitochondria	ABAB_MAD_LP_223_Du-590	MALV_LP_099_Du-205	24	38962	0.000615984805708
mitochondria	ABAB_MAD_LP_223_Du-590	MALV_LP_100_Du-206	24	38962	0.000615984805708
mitochondria	ABAB_MAD_LP_223_Du-590	MALV_LP_101_Du-207	24	38962	0.000615984805708
mitochondria	ABAB_MAD_LP_223_Du-590	MALV_LP_102_Du-208	24	38963	0.000615968996227
mitochondria	ABAB_MAD_LP_223_Du-590	MALV_LP_103_Du-209	24	38963	0.000615968996227
mitochondria	ABAB_MAD_LP_223_Du-590	MALV_LP_104_Du-210	24	38962	0.000615984805708
mitochondria	ABAB_MAD_LP_223_Du-590	OCO_LP_058_Du-115	36	38956	0.000924119519458
mitochondria	ABAB_MAD_LP_223_Du-590	OCO_LP_059_Du-106	39	38942	0.00100148939448
mitochondria	ABAB_MAD_LP_223_Du-590	OCO_LP_060_Du-107	38	38954	0.000975509575397
mitochondria	ABAB_MAD_LP_223_Du-590	OCO_LP_061_Du-108	39	38956	0.00100112947941
mitochondria	ABAB_MAD_LP_223_Du-590	OCO_LP_062_Du-109	38	38955	0.000975484533436
mitochondria	ABAB_MAD_LP_223_Du-590	OCO_LP_063_Du-110	37	38954	0.000949838270781
mitochondria	ABAB_MAD_LP_223_Du-590	OCO_LP_064_Du-111	36	38951	0.000924238145362
mitochondria	ABAB_MAD_LP_223_Du-590	OCO_LP_065_Du-112	37	38951	0.000949911427178
mitochondria	ABAB_MAD_LP_223_Du-590	OCO_LP_066_Du-113	32	38809	0.00082455100621
mitochondria	ABAB_MAD_LP_223_Du-590	OCO_LP_067_Du-114	34	37956	0.000895774054168
mitochondria	ABAB_MAD_LP_223_Du-590	QUI1_LP_249_Du-648	20	38958	0.000513373376457
mitochondria	ABAB_MAD_LP_223_Du-590	QUI1_LP_250_Du-649	21	38958	0.00053904204528
mitochondria	ABAB_MAD_LP_223_Du-590	QUI1_LP_252_Du-651	20	38957	0.000513386554406
mitochondria	ABAB_MAD_LP_223_Du-590	QUI1_LP_253_Du-652	20	38960	0.000513347022587
mitochondria	ABAB_MAD_LP_223_Du-590	QUI1_LP_254_Du-653	20	37288	0.000536365586784
mitochondria	ABAB_MAD_LP_223_Du-590	QUI1_LP_255_Du-654	20	38958	0.000513373376457
mitochondria	ABAB_MAD_LP_223_Du-590	QUI1_LP_257_Du-656	20	38443	0.000520250760867
mitochondria	ABAB_MAD_LP_223_Du-590	QUI1_LP_258_Du-657	21	38958	0.00053904204528
mitochondria	ABAB_MAD_LP_223_Du-590	QUI2_LP_243_Du-631	25	38816	0.00064406430338
mitochondria	ABAB_MAD_LP_223_Du-590	QUI2_LP_244_Du-632	25	38805	0.000644246875403
mitochondria	ABAB_MAD_LP_223_Du-590	QUI2_LP_245_Du-633	25	38815	0.000644080896561
mitochondria	ABAB_MAD_LP_223_Du-590	QUI2_LP_246_Du-634	25	38815	0.000644080896561
mitochondria	ABAB_MAD_LP_223_Du-590	QUI2_LP_247_Du-635	25	38817	0.000644047711054
mitochondria	ABAB_MAD_LP_223_Du-590	QUI2_LP_248_Du-636	25	38816	0.00064406430338
mitochondria	ABAB_MAD_LP_223_Du-590	QUI2_LP_337_Du-638	25	38816	0.00064406430338
mitochondria	ABAB_MAD_LP_223_Du-590	QUI2_LP_338_Du-639	25	38612	0.000647467108671
mitochondria	ABAB_MAD_LP_223_Du-590	QUI2_LP_339_Du-640	25	38815	0.000644080896561
mitochondria	ABAB_MAD_LP_223_Du-590	QUI2_LP_340_Du-641	25	38816	0.00064406430338
mitochondria	ABAB_MAD_LP_223_Du-590	QUIN_LP_069_Du-155	25	38815	0.000644080896561
mitochondria	ABAB_MAD_LP_223_Du-590	QUIN_LP_070_Du-156	25	38815	0.000644080896561
mitochondria	ABAB_MAD_LP_223_Du-590	QUIN_LP_071_Du-157	25	38815	0.000644080896561
mitochondria	ABAB_MAD_LP_223_Du-590	QUIN_LP_072_Du-158	25	38815	0.000644080896561
mitochondria	ABAB_MAD_LP_223_Du-590	QUIN_LP_073_Du-159	25	38816	0.00064406430338
mitochondria	ABAB_MAD_LP_223_Du-590	QUIN_LP_074_Du-160	25	38815	0.000644080896561
mitochondria	ABAB_MAD_LP_223_Du-590	QUIN_LP_075_Du-161	25	38820	0.000643997939207
mitochondria	ABAB_MAD_LP_223_Du-590	QUIN_LP_076_Du-162	25	38819	0.000644014528968
mitochondria	ABAB_MAD_LP_223_Du-590	QUIN_LP_077_Du-163	25	38824	0.000643931588708
mitochondria	ABAB_MAD_LP_223_Du-590	QUIN_LP_318_Du-164	25	38818	0.000644031119584
mitochondria	ABAB_MAD_LP_223_Du-590	RIC_LP_192_Du-521	23	38960	0.000590349075975
mitochondria	ABAB_MAD_LP_223_Du-590	RIC_LP_193_Du-522	23	38959	0.000590364229061
mitochondria	ABAB_MAD_LP_223_Du-590	RIC_LP_194_Du-523	23	38963	0.000590303621384
mitochondria	ABAB_MAD_LP_223_Du-590	RIC_LP_195_Du-524	23	38963	0.000590303621384
mitochondria	ABAB_MAD_LP_223_Du-590	RIC_LP_196_Du-525	23	38963	0.000590303621384
mitochondria	ABAB_MAD_LP_223_Du-590	RIC_LP_197_Du-526	16	38953	0.000410751418376
mitochondria	ABAB_MAD_LP_223_Du-590	RIC_LP_198_Du-527	23	38963	0.000590303621384
mitochondria	ABAB_MAD_LP_223_Du-590	RIC_LP_199_Du-528	23	38963	0.000590303621384
mitochondria	ABAB_MAD_LP_223_Du-590	RIC_LP_200_Du-529	23	38963	0.000590303621384
mitochondria	ABAB_MAD_LP_223_Du-590	RIC_LP_201_Du-530	23	38963	0.000590303621384
mitochondria	ABAB_MAD_LP_223_Du-590	RSV_LP_049_Du-85	24	38950	0.000616174582798
mitochondria	ABAB_MAD_LP_223_Du-590	RSV_LP_050_Du-87	25	38951	0.00064183204539
mitochondria	ABAB_MAD_LP_223_Du-590	RSV_LP_051_Du-88	25	38933	0.000642128785349
mitochondria	ABAB_MAD_LP_223_Du-590	RSV_LP_052_Du-89	23	38948	0.000590530964363
mitochondria	ABAB_MAD_LP_223_Du-590	RSV_LP_053_Du-90	25	38949	0.000641865002953
mitochondria	ABAB_MAD_LP_223_Du-590	RSV_LP_055_Du-92	24	38944	0.000616269515201
mitochondria	ABAB_MAD_LP_223_Du-590	RSV_LP_057_Du-94	24	38944	0.000616269515201
mitochondria	ABAB_MAD_LP_223_Du-590	RSV_LP_315_Du-95	24	38945	0.000616253691103
mitochondria	ABAB_MAD_LP_223_Du-590	RSV_LP_316_Du-96	25	38944	0.000641947411668
mitochondria	ABAB_MAD_LP_223_Du-590	SILG_LP_149_Du-343	24	38877	0.000617331584227
mitochondria	ABAB_MAD_LP_223_Du-590	SILG_LP_150_Du-344	24	38954	0.000616111310777
mitochondria	ABAB_MAD_LP_223_Du-590	SILG_LP_151_Du-345	25	38955	0.000641766140418
mitochondria	ABAB_MAD_LP_223_Du-590	SILG_LP_152_Du-346	25	38952	0.000641815567878
mitochondria	ABAB_MAD_LP_223_Du-590	SILG_LP_153_Du-347	24	38940	0.000616332819723
mitochondria	ABAB_MAD_LP_223_Du-590	SILG_LP_154_Du-348	24	38951	0.000616158763575
mitochondria	ABAB_MAD_LP_223_Du-590	SILG_LP_155_Du-349	25	38953	0.000641799091212
mitochondria	ABAB_MAD_LP_223_Du-590	SILG_LP_156_Du-350	25	38953	0.000641799091212
mitochondria	ABAB_MAD_LP_223_Du-590	SILG_LP_157_Du-351	24	34409	0.000697491935249
mitochondria	ABAB_MAD_LP_223_Du-590	SILG_LP_158_Du-352	18	36906	0.000487725573078
mitochondria	ABAB_MAD_LP_223_Du-590	SILR_LP_346_Du-729	27	38958	0.000693054058217
mitochondria	ABAB_MAD_LP_223_Du-590	SILR_LP_347_Du-730	27	38962	0.000692982906422
mitochondria	ABAB_MAD_LP_223_Du-590	SILR_LP_348_Du-731	27	38958	0.000693054058217
mitochondria	ABAB_MAD_LP_223_Du-590	SILR_LP_349_Du-732	27	38962	0.000692982906422
mitochondria	ABAB_MAD_LP_223_Du-590	SILR_LP_351_Du-734	27	38962	0.000692982906422
mitochondria	ABAB_MAD_LP_223_Du-590	SILR_LP_353_Du-736	27	38958	0.000693054058217
mitochondria	ABAB_MAD_LP_223_Du-590	STI_LP_027_Du-45	22	38484	0.00057166614697
mitochondria	ABAB_MAD_LP_223_Du-590	STI_LP_028_Du-46	24	38948	0.000616206223683
mitochondria	ABAB_MAD_LP_223_Du-590	STI_LP_029_Du-47	20	33161	0.000603118120684
mitochondria	ABAB_MAD_LP_223_Du-590	STI_LP_030_Du-48	24	38945	0.000616253691103
mitochondria	ABAB_MAD_LP_223_Du-590	STI_LP_031_Du-49	24	38944	0.000616269515201
mitochondria	ABAB_MAD_LP_223_Du-590	STI_LP_032_Du-50	24	38944	0.000616269515201
mitochondria	ABAB_MAD_LP_223_Du-590	STI_LP_033_Du-51	24	38681	0.000620459657196
mitochondria	ABAB_MAD_LP_223_Du-590	STI_LP_034_Du-52	23	38943	0.000590606784274
mitochondria	ABAB_MAD_LP_223_Du-590	STI_LP_035_Du-53	24	38945	0.000616253691103
mitochondria	ABAB_MAD_LP_223_Du-590	STI_LP_036_Du-54	24	38932	0.00061645946779
mitochondria	ABAB_MAD_LP_223_Du-590	STI_LP_037_Du-55	24	38945	0.000616253691103
mitochondria	ABAB_MAD_LP_223_Du-590	STI_LP_038_Du-56	24	38947	0.000616222045344
mitochondria	ABAB_MAD_LP_223_Du-590	STI_LP_039_Du-57	23	38943	0.000590606784274
mitochondria	ABAB_MAD_LP_223_Du-590	STI_LP_040_Du-58	19	37970	0.000500395048723
mitochondria	ABAB_MAD_LP_223_Du-590	STI_LP_041_Du-60	24	38951	0.000616158763575
mitochondria	ABAB_MAD_LP_223_Du-590	STI_LP_042_Du-61	24	38926	0.000616554488003
mitochondria	ABAB_MAD_LP_223_Du-590	TIL_LP_123_Du-263	25	36037	0.000693731442684
mitochondria	ABAB_MAD_LP_223_Du-590	TIL_LP_124_Du-264	26	38948	0.000667556742323
mitochondria	ABAB_MAD_LP_223_Du-590	TIL_LP_125_Du-265	21	36030	0.000582847626978
mitochondria	ABAB_MAD_LP_223_Du-590	TIL_LP_126_Du-266	23	38915	0.000591031735835
mitochondria	ABAB_MAD_LP_223_Du-590	TIL_LP_128_Du-268	24	38944	0.000616269515201
mitochondria	ABAB_MAD_LP_223_Du-590	TIL_LP_129_Du-269	25	38946	0.000641914445643
mitochondria	ABAB_MAD_LP_223_Du-590	TIL_LP_130_Du-271	25	38946	0.000641914445643
mitochondria	ABAB_MAD_LP_223_Du-590	TIL_LP_131_Du-272	25	38944	0.000641947411668
mitochondria	ABAB_MAD_LP_223_Du-590	TULP_LP_115_Du-242	23	38959	0.000590364229061
mitochondria	ABAB_MAD_LP_223_Du-590	TULP_LP_116_Du-243	22	38963	0.000564638246542
mitochondria	ABAB_MAD_LP_223_Du-590	TULP_LP_117_Du-244	22	38963	0.000564638246542
mitochondria	ABAB_MAD_LP_223_Du-590	TULP_LP_118_Du-245	22	38963	0.000564638246542
mitochondria	ABAB_MAD_LP_223_Du-590	TULP_LP_119_Du-246	22	38963	0.000564638246542
mitochondria	ABAB_MAD_LP_223_Du-590	TULP_LP_120_Du-248	23	38960	0.000590349075975
mitochondria	ABAB_MAD_LP_223_Du-590	TULP_LP_121_Du-249	22	38961	0.000564667231334
mitochondria	ABAB_MAD_LP_223_Du-590	TULP_LP_122_Du-250	22	38963	0.000564638246542
mitochondria	ABAB_MAD_LP_223_Du-590	TULP_LP_140_Du-302	22	38958	0.000564710714102
mitochondria	ABAB_MAD_LP_223_Du-590	TULP_LP_141_Du-303	23	38957	0.000590394537567
mitochondria	ABAB_MAD_LP_223_Du-590	TULP_LP_142_Du-304	23	38900	0.000591259640103
mitochondria	ABAB_MAD_LP_223_Du-590	TULP_LP_143_Du-305	23	38960	0.000590349075975
