sample_id	reference_length	analysis_mask_bases	callable_bases	callable_fraction_of_reference	callable_fraction_of_analysis_mask	reference_matches_at_callable_bases	nonreference_callable_bases	callable_reference_identity
BAI_LP_111_Du-228	150274	124538	106126	0.70621664	0.85215757	105949	177	0.998332171193
BAI_LP_112_Du-230	150274	124538	105429	0.70157845	0.84656089	105258	171	0.998378055374
BAI_LP_113_Du-231	150274	124538	105887	0.70462622	0.85023848	105713	174	0.998356738788
BAI_LP_114_Du-232	150274	124538	105625	0.70288273	0.84813471	105454	171	0.998381065089
BAI_LP_319_Du-233	150274	124538	102883	0.68463606	0.82611733	102707	176	0.998289318935
COM_LP_269_Du-703	150274	124538	103100	0.68608009	0.82785977	102994	106	0.998971871969
COM_LP_270_Du-704	150274	124538	102263	0.68051027	0.82113893	102160	103	0.998992793092
COM_LP_272_Du-707	150274	124538	103189	0.68667235	0.82857441	103086	103	0.999001831591
COM_LP_274_Du-709	150274	124538	103097	0.68606013	0.82783568	102995	102	0.999010640465
COM_LP_276_Du-711	150274	124538	102263	0.68051027	0.82113893	102160	103	0.998992793092
COM_LP_277_Du-712	150274	124538	102666	0.68319204	0.82437489	102564	102	0.999006487055
COM_LP_341_Du-713	150274	124538	103597	0.68938739	0.83185052	103494	103	0.999005762715
COM_LP_342_Du-714	150274	124538	102556	0.68246004	0.82349163	102454	102	0.999005421428
COM_LP_343_Du-715	150274	124538	103253	0.68709823	0.82908831	103150	103	0.999002450292
CROB_LP_169_Du-381	150274	124538	102080	0.67929249	0.81966950	102036	44	0.999568965517
CROB_LP_170_Du-382	150274	124538	104105	0.69276788	0.83592960	104062	43	0.999586955478
CROB_LP_172_Du-384	150274	124538	102753	0.68377098	0.82507347	102708	45	0.999562056582
CROB_LP_173_Du-385	150274	124538	104342	0.69434500	0.83783263	104299	43	0.999587893657
CROB_LP_174_Du-386	150274	124538	104712	0.69680717	0.84080361	104669	43	0.999589349836
CROB_LP_175_Du-387	150274	124538	104269	0.69385922	0.83724646	104226	43	0.999587605137
CROB_LP_176_Du-388	150274	124538	104316	0.69417198	0.83762386	104273	43	0.999587790943
CROB_LP_177_Du-389	150274	124538	105296	0.70069340	0.84549294	105253	43	0.999591627412
CROB_LP_320_Du-395	150274	124538	103696	0.69004618	0.83264546	103653	43	0.999585326339
CROB_LP_321_Du-396	150274	124538	103987	0.69198265	0.83498209	103944	43	0.999586486772
CROS_LP_085_Du-181	150274	124538	105493	0.70200434	0.84707479	105450	43	0.999592390016
CROS_LP_086_Du-182	150274	124538	106598	0.70935757	0.85594758	106555	43	0.999596615321
CROS_LP_087_Du-183	150274	124538	106144	0.70633643	0.85230211	106100	44	0.999585468797
CROS_LP_088_Du-184	150274	124538	106239	0.70696860	0.85306493	106195	44	0.999585839475
CROS_LP_089_Du-185	150274	124538	107509	0.71541983	0.86326262	107464	45	0.999581430392
CROS_LP_090_Du-186	150274	124538	106538	0.70895830	0.85546580	106495	43	0.999596388143
CROS_LP_091_Du-187	150274	124538	106891	0.71130735	0.85830028	106868	23	0.999784827535
CROS_LP_092_Du-188	150274	124538	105911	0.70478592	0.85043119	105888	23	0.999782836533
CROS_LP_093_Du-189	150274	124538	105769	0.70384098	0.84929098	105722	47	0.999555635394
CROS_LP_094_Du-190	150274	124538	106885	0.71126742	0.85825210	106863	22	0.999794171306
CY_ALA_LP_298-Du-767	150274	124538	101926	0.67826770	0.81843293	101755	171	0.998322312266
CY_ALA_LP_299-Du-768	150274	124538	101808	0.67748247	0.81748543	101639	169	0.998340012573
CY_ALA_LP_357_Du-769	150274	124538	103477	0.68858884	0.83088696	103306	171	0.998347458856
CY_BAL_LP_226_Du-602	150274	124538	102059	0.67915275	0.81950088	101469	590	0.994219030169
CY_BAL_LP_227_Du-603	150274	124538	101892	0.67804144	0.81815992	101306	586	0.994248812468
CY_BAL_LP_228_Du-604	150274	124538	100785	0.67067490	0.80927107	100195	590	0.994145954259
CY_BGL_LP_210_Du-577	150274	124538	102605	0.68278611	0.82388508	102017	588	0.994269285123
CY_BGL_LP_212_Du-579	150274	124538	103845	0.69103770	0.83384188	103253	592	0.994299195917
CY_BOU_LP_288_Du-737	150274	124538	102194	0.68005111	0.82058488	102014	180	0.998238644147
CY_BOU_LP_290_Du-739	150274	124538	103868	0.69119076	0.83402656	103683	185	0.998218893211
CY_BOU_LP_291_Du-740	150274	124538	102385	0.68132212	0.82211855	102200	185	0.998193094692
CY_BOU_LP_292_Du-741	150274	124538	102254	0.68045038	0.82106666	102069	185	0.998190779823
CY_BOU_LP_354_Du-742	150274	124538	103652	0.68975338	0.83229215	103467	185	0.998215181569
CY_CAS_LP_328_Du-610	150274	124538	101546	0.67573898	0.81538165	100956	590	0.994189825301
CY_CAS_LP_329_Du-611	150274	124538	102403	0.68144190	0.82226308	102227	176	0.998281300353
CY_CAS_LP_330_Du-607	150274	124538	101758	0.67714974	0.81708394	101583	175	0.998280233495
CY_CAS_LP_331_Du-608	150274	124538	101252	0.67378256	0.81302093	101078	174	0.998281515427
CY_CAS_LP_332_Du-609	150274	124538	101847	0.67774199	0.81779858	101670	177	0.998262099031
CY_HICN_LP_236_Du-614	150274	124538	103217	0.68685867	0.82879924	102559	658	0.99362508114
CY_HICN_LP_333_Du-612	150274	124538	101256	0.67380918	0.81305304	100602	654	0.993541123489
CY_HICN_LP_334_Du-613	150274	124538	100872	0.67125384	0.80996965	100222	650	0.993556190023
CY_HICN_LP_335_Du-615	150274	124538	101410	0.67483397	0.81428961	100752	658	0.993511488019
CY_HICN_LP_336_Du-616	150274	124538	101707	0.67681036	0.81667443	101048	659	0.993520603302
CY_HICS_LP_293_Du-757	150274	124538	101588	0.67601847	0.81571890	101410	178	0.998247824546
CY_HICS_LP_295_Du-759	150274	124538	100360	0.66784673	0.80585845	100183	177	0.998236349143
CY_HICS_LP_297_Du-761	150274	124538	101927	0.67827435	0.81844096	101749	178	0.998253652124
CY_HICS_LP_355_Du-762	150274	124538	103331	0.68761729	0.82971463	103149	182	0.998238669905
CY_HICS_LP_356_Du-763	150274	124538	102776	0.68392403	0.82525815	102599	177	0.998277808049
CY_HUN_LP_264_Du-683	150274	124538	101870	0.67789505	0.81798327	101204	666	0.993462255816
CY_HUN_LP_265_Du-684	150274	124538	80117	0.53313947	0.64331369	79599	518	0.993534455858
CY_HUN_LP_266_Du-685	150274	124538	102386	0.68132877	0.82212658	101718	668	0.993475670502
CY_HUN_LP_267_Du-686	150274	124538	101524	0.67559258	0.81520500	100857	667	0.993430124897
CY_HUN_LP_268_Du-687	150274	124538	101372	0.67458110	0.81398449	100705	667	0.993420273843
CY_SIE_LP_188_Du-445	150274	124538	104857	0.69777207	0.84196791	104198	659	0.993715250293
CY_SIE_LP_189_Du-446	150274	124538	104965	0.69849076	0.84283512	104301	664	0.993674081837
CY_SIE_LP_190_Du-447	150274	124538	105216	0.70016104	0.84485057	104555	661	0.993717685523
CY_SIE_LP_191_Du-448	150274	124538	104452	0.69507699	0.83871589	104277	175	0.998324589285
CY_WOO_LP_259_Du-664	150274	124538	102623	0.68290589	0.82402961	102441	182	0.998226518422
CY_WOO_LP_260_Du-665	150274	124538	101375	0.67460106	0.81400858	101188	187	0.998155363748
CY_WOO_LP_261_Du-667	150274	124538	100309	0.66750735	0.80544894	100140	169	0.998315206013
CY_WOO_LP_262_Du-668	150274	124538	101413	0.67485393	0.81431370	101227	186	0.998165915612
CY_WOO_LP_263_Du-669	150274	124538	101983	0.67864700	0.81889062	101797	186	0.998176166616
DAN_LP_043_Du-68	150274	124538	102472	0.68190106	0.82281713	102361	111	0.998916777266
DAN_LP_044_Du-69	150274	124538	103397	0.68805648	0.83024458	103286	111	0.998926467886
DAN_LP_045_Du-70	150274	124538	105836	0.70428684	0.84982897	105731	105	0.999007899014
DAN_LP_046_Du-71	150274	124538	103616	0.68951382	0.83200308	103511	105	0.998986642989
DAN_LP_047_Du-72	150274	124538	102997	0.68539468	0.82703271	102886	111	0.998922298708
DOV_LP_078_Du-174	150274	124538	104825	0.69755913	0.84171096	104657	168	0.998397328881
DOV_LP_079_Du-175	150274	124538	106219	0.70683551	0.85290433	106046	173	0.998371289506
DOV_LP_080_Du-176	150274	124538	107159	0.71309075	0.86045223	106986	173	0.998385576573
DOV_LP_081_Du-177	150274	124538	106782	0.71058200	0.85742504	106611	171	0.998398606507
DOV_LP_082_Du-178	150274	124538	106313	0.70746104	0.85365912	106139	174	0.998363323394
DOV_LP_083_Du-179	150274	124538	106221	0.70684882	0.85292039	106047	174	0.998361905838
DOV_LP_084_Du-180	150274	124538	106487	0.70861892	0.85505629	106314	173	0.998375388545
DU-173	150274	124538	106625	0.70953725	0.85616438	106436	189	0.998227432591
DU-229	150274	124538	106191	0.70664919	0.85267950	106014	177	0.998333192078
DU-247	150274	124538	106380	0.70790689	0.85419711	106369	11	0.999896597105
DU-254	150274	124538	106080	0.70591054	0.85178821	106066	14	0.999868024133
DU-270	150274	124538	105797	0.70402731	0.84951581	105611	186	0.998241916122
DU-297	150274	124538	106459	0.70843260	0.85483146	106447	12	0.999887280549
DU-443	150274	124538	105800	0.70404727	0.84953990	105134	666	0.99370510397
DU-4A	150274	124538	106463	0.70845921	0.85486358	106420	43	0.999596103811
DU014LP012	150274	124538	107170	0.71316395	0.86054056	106990	180	0.998320425492
DU037LP013	150274	124538	107553	0.71571263	0.86361592	107373	180	0.998326406516
DU059LP015	150274	124538	106948	0.71168665	0.85875797	106769	179	0.998326289412
DU078LP011	150274	124538	107782	0.71723651	0.86545472	107672	110	0.998979421425
DU079LP010	150274	124538	106838	0.71095466	0.85787470	106728	110	0.998970403789
DUD_LP_132_Du-283	150274	124538	102503	0.68210735	0.82306605	102500	3	0.999970732564
DUD_LP_133_Du-284	150274	124538	103847	0.69105101	0.83385794	103844	3	0.999971111347
DUD_LP_134_Du-285	150274	124538	104096	0.69270799	0.83585733	104093	3	0.999971180449
DUD_LP_135_Du-286	150274	124538	103986	0.69197599	0.83497406	103983	3	0.999971149962
DUD_LP_136_Du-287	150274	124538	104057	0.69244846	0.83554417	104045	12	0.99988467859
DUD_LP_137_Du-288	150274	124538	103395	0.68804317	0.83022852	103351	44	0.999574447507
DUD_LP_138_Du-289	150274	124538	103824	0.69089796	0.83367326	103821	3	0.999971104947
DUD_LP_139_Du-290	150274	124538	103480	0.68860881	0.83091105	103466	14	0.999864708156
KIRN_LP_179_Du-421	150274	124538	105466	0.70182467	0.84685799	105419	47	0.999554358751
KIRN_LP_180_Du-422	150274	124538	104724	0.69688702	0.84089997	104680	44	0.999579847981
KIRN_LP_181_Du-423	150274	124538	104446	0.69503707	0.83866772	104402	44	0.999578729678
KIRN_LP_182_Du-424	150274	124538	105465	0.70181801	0.84684996	105421	44	0.999582799981
KIRN_LP_183_Du-425	150274	124538	105079	0.69924937	0.84375050	105034	45	0.999571750778
KIRN_LP_184_Du-426	150274	124538	105163	0.69980835	0.84442499	105119	44	0.999581601894
KIRN_LP_185_Du-427	150274	124538	105390	0.70131892	0.84624773	105346	44	0.999582503084
KIRN_LP_186_Du-428	150274	124538	105572	0.70253005	0.84770913	105526	46	0.999564278407
KIRN_LP_187_Du-429	150274	124538	105559	0.70244354	0.84760475	105512	47	0.999554751371
KIRT_LP_159_Du-364	150274	124538	101997	0.67874017	0.81900304	101952	45	0.999558810553
KIRT_LP_160_Du-365	150274	124538	104421	0.69487070	0.83846697	104376	45	0.999569052202
KIRT_LP_161_Du-366	150274	124538	104189	0.69332686	0.83660409	104144	45	0.999568092601
KIRT_LP_162_Du-367	150274	124538	103944	0.69169650	0.83463682	103899	45	0.999567074579
KIRT_LP_163_Du-368	150274	124538	104422	0.69487736	0.83847500	104377	45	0.999569056329
KIRT_LP_164_Du-369	150274	124538	103953	0.69175639	0.83470908	103908	45	0.99956711206
KIRT_LP_165_Du-370	150274	124538	105772	0.70386095	0.84931507	105728	44	0.999584010891
KIRT_LP_166_Du-371	150274	124538	105235	0.70028747	0.84500313	105191	44	0.999581888155
KIRT_LP_167_Du-372	150274	124538	103163	0.68649933	0.82836564	103118	45	0.999563797098
KIRT_LP_168_Du-373	150274	124538	104850	0.69772549	0.84191171	104805	45	0.999570815451
MALV_LP_095_Du-201	150274	124538	107499	0.71535329	0.86318232	107451	48	0.999553484218
MALV_LP_096_Du-202	150274	124538	106755	0.71040233	0.85720824	106708	47	0.999559739591
MALV_LP_097_Du-203	150274	124538	106900	0.71136724	0.85837254	106853	47	0.999560336763
MALV_LP_098_Du-204	150274	124538	106832	0.71091473	0.85782653	106785	47	0.999560056912
MALV_LP_099_Du-205	150274	124538	105574	0.70254335	0.84772519	105529	45	0.999573758691
MALV_LP_100_Du-206	150274	124538	106735	0.71026924	0.85704765	106688	47	0.999559657095
MALV_LP_101_Du-207	150274	124538	106753	0.71038902	0.85719218	106707	46	0.999569098761
MALV_LP_102_Du-208	150274	124538	106169	0.70650279	0.85250285	106122	47	0.999557309572
MALV_LP_103_Du-209	150274	124538	106354	0.70773387	0.85398834	106307	47	0.999558079621
MALV_LP_104_Du-210	150274	124538	106304	0.70740115	0.85358686	106257	47	0.999557871764
OCO_LP_058_Du-115	150274	124538	101502	0.67544618	0.81502834	100827	675	0.993349884731
OCO_LP_059_Du-106	150274	124538	101723	0.67691683	0.81680290	101041	682	0.993295518221
OCO_LP_060_Du-107	150274	124538	101058	0.67249158	0.81146317	100377	681	0.993261295494
OCO_LP_061_Du-108	150274	124538	102105	0.67945886	0.81987024	101419	686	0.993281425983
OCO_LP_062_Du-109	150274	124538	102164	0.67985147	0.82034399	101480	684	0.993304882346
OCO_LP_063_Du-110	150274	124538	100957	0.67181948	0.81065217	100277	680	0.993264459126
OCO_LP_064_Du-111	150274	124538	101209	0.67349641	0.81267565	100528	681	0.993271349386
OCO_LP_065_Du-112	150274	124538	101538	0.67568575	0.81531741	100856	682	0.993283302803
OCO_LP_066_Du-113	150274	124538	100828	0.67096104	0.80961634	100156	672	0.993335184671
OCO_LP_067_Du-114	150274	124538	100971	0.67191264	0.81076459	100300	671	0.993354527538
QUI1_LP_249_Du-648	150274	124538	101576	0.67593862	0.81562254	101398	178	0.998247617547
QUI1_LP_250_Du-649	150274	124538	101493	0.67538629	0.81495608	101315	178	0.998246184466
QUI1_LP_251_Du-650	150274	124538	100686	0.67001610	0.80847613	100509	177	0.998242059472
QUI1_LP_252_Du-651	150274	124538	101091	0.67271118	0.81172815	100914	177	0.998249102294
QUI1_LP_253_Du-652	150274	124538	102226	0.68026405	0.82084183	102048	178	0.998258760002
QUI1_LP_254_Du-653	150274	124538	101111	0.67284427	0.81188874	100936	175	0.998269228867
QUI1_LP_255_Du-654	150274	124538	102197	0.68007107	0.82060897	102019	178	0.998258265898
QUI1_LP_257_Du-656	150274	124538	101421	0.67490717	0.81437794	101244	177	0.998254799302
QUI1_LP_258_Du-657	150274	124538	102865	0.68451628	0.82597280	102687	178	0.99826957663
QUI2_LP_243_Du-631	150274	124538	103015	0.68551446	0.82717725	102837	178	0.998272096297
QUI2_LP_244_Du-632	150274	124538	101094	0.67273114	0.81175224	100916	178	0.998239262469
QUI2_LP_245_Du-633	150274	124538	101348	0.67442139	0.81379177	101170	178	0.998243675258
QUI2_LP_246_Du-634	150274	124538	102160	0.67982485	0.82031187	101981	179	0.998247846515
QUI2_LP_247_Du-635	150274	124538	102412	0.68150179	0.82233535	102234	178	0.998261922431
QUI2_LP_248_Du-636	150274	124538	102534	0.68231364	0.82331497	102355	179	0.998254237619
QUI2_LP_337_Du-638	150274	124538	100800	0.67077472	0.80939151	100621	179	0.998224206349
QUI2_LP_338_Du-639	150274	124538	101250	0.67376925	0.81300487	101070	180	0.998222222222
QUI2_LP_339_Du-640	150274	124538	102654	0.68311218	0.82427853	102475	179	0.998256278372
QUI2_LP_340_Du-641	150274	124538	102683	0.68330516	0.82451139	102505	178	0.998266509549
QUIN_LP_069_Du-155	150274	124538	101487	0.67534637	0.81490790	101306	181	0.998216520343
QUIN_LP_070_Du-156	150274	124538	100918	0.67155995	0.81033901	100739	179	0.998226282725
QUIN_LP_071_Du-157	150274	124538	101523	0.67558593	0.81519697	101342	181	0.998217152763
QUIN_LP_072_Du-158	150274	124538	101090	0.67270453	0.81172012	100911	179	0.998229300623
QUIN_LP_073_Du-159	150274	124538	101428	0.67495375	0.81443415	101249	179	0.998235201325
QUIN_LP_074_Du-160	150274	124538	101782	0.67730945	0.81727665	101602	180	0.998231514413
QUIN_LP_075_Du-161	150274	124538	106650	0.70970361	0.85636513	106471	179	0.998321612752
QUIN_LP_076_Du-162	150274	124538	105383	0.70127234	0.84619152	105204	179	0.998301433818
QUIN_LP_077_Du-163	150274	124538	106430	0.70823962	0.85459860	106251	179	0.998318143381
QUIN_LP_318_Du-164	150274	124538	102632	0.68296578	0.82410188	102451	181	0.998236417492
RIC_LP_192_Du-521	150274	124538	105388	0.70130562	0.84623167	105342	46	0.999563517668
RIC_LP_193_Du-522	150274	124538	105121	0.69952886	0.84408775	105075	46	0.999562409033
RIC_LP_194_Du-523	150274	124538	105313	0.70080653	0.84562945	105267	46	0.999563206822
RIC_LP_195_Du-524	150274	124538	103670	0.68987317	0.83243669	103624	46	0.999556284364
RIC_LP_196_Du-525	150274	124538	103627	0.68958702	0.83209141	103581	46	0.999556100244
RIC_LP_197_Du-526	150274	124538	102558	0.68247335	0.82350768	102530	28	0.999726983756
RIC_LP_198_Du-527	150274	124538	105975	0.70521181	0.85094509	105921	54	0.99949044586
RIC_LP_199_Du-528	150274	124538	104809	0.69745265	0.84158249	104763	46	0.999561106394
RIC_LP_200_Du-529	150274	124538	105657	0.70309568	0.84839166	105611	46	0.999564628941
RIC_LP_201_Du-530	150274	124538	105920	0.70484581	0.85050346	105874	46	0.99956570997
RSV_LP_049_Du-85	150274	124538	104471	0.69520343	0.83886846	104294	177	0.998305749921
RSV_LP_050_Du-87	150274	124538	105220	0.70018766	0.84488269	105041	179	0.998298802509
RSV_LP_051_Du-88	150274	124538	102158	0.67981154	0.82029581	101978	180	0.998238023454
RSV_LP_052_Du-89	150274	124538	103753	0.69042549	0.83310315	103577	176	0.998303663509
RSV_LP_053_Du-90	150274	124538	104266	0.69383925	0.83722237	104087	179	0.998283237105
RSV_LP_055_Du-92	150274	124538	103072	0.68589377	0.82763494	102896	176	0.998292455759
RSV_LP_057_Du-94	150274	124538	104585	0.69596204	0.83978384	104408	177	0.998307596692
RSV_LP_315_Du-95	150274	124538	105321	0.70085976	0.84569368	105145	176	0.998328918259
RSV_LP_316_Du-96	150274	124538	104205	0.69343333	0.83673256	104027	178	0.998291828607
SILG_LP_149_Du-343	150274	124538	102236	0.68033060	0.82092213	102097	139	0.998640400642
SILG_LP_150_Du-344	150274	124538	102124	0.67958529	0.82002280	101948	176	0.998276604912
SILG_LP_151_Du-345	150274	124538	102889	0.68467599	0.82616551	102718	171	0.998338014754
SILG_LP_152_Du-346	150274	124538	102562	0.68249997	0.82353980	102388	174	0.998303465221
SILG_LP_153_Du-347	150274	124538	102260	0.68049030	0.82111484	102083	177	0.998269117935
SILG_LP_154_Du-348	150274	124538	103212	0.68682540	0.82875909	103036	176	0.998294771926
SILG_LP_155_Du-349	150274	124538	102262	0.68050361	0.82113090	102092	170	0.998337603411
SILG_LP_156_Du-350	150274	124538	102846	0.68438985	0.82582023	102669	177	0.998278980223
SILG_LP_157_Du-351	150274	124538	102127	0.67960525	0.82004689	101952	175	0.998286447267
SILG_LP_158_Du-352	150274	124538	101193	0.67338994	0.81254717	101023	170	0.9983200419
SILR_LP_346_Du-729	150274	124538	103189	0.68667235	0.82857441	103077	112	0.998914612992
SILR_LP_347_Du-730	150274	124538	104593	0.69601528	0.83984808	104481	112	0.998929182641
SILR_LP_348_Du-731	150274	124538	103365	0.68784354	0.82998763	103253	112	0.998916461085
SILR_LP_349_Du-732	150274	124538	103478	0.68859550	0.83089499	103366	112	0.99891764433
SILR_LP_351_Du-734	150274	124538	103575	0.68924099	0.83167387	103464	111	0.998928312817
SILR_LP_353_Du-736	150274	124538	101809	0.67748912	0.81749346	101709	100	0.999017768567
STI_LP_027_Du-45	150274	124538	102133	0.67964518	0.82009507	101951	182	0.99821800985
STI_LP_028_Du-46	150274	124538	103159	0.68647271	0.82833352	102985	174	0.998313283378
STI_LP_029_Du-47	150274	124538	101301	0.67410863	0.81341438	101128	173	0.998292218241
STI_LP_030_Du-48	150274	124538	102705	0.68345156	0.82468805	102532	173	0.998315563994
STI_LP_031_Du-49	150274	124538	101655	0.67646433	0.81625689	101478	177	0.998258816586
STI_LP_032_Du-50	150274	124538	102657	0.68313215	0.82430262	102484	173	0.998314776391
STI_LP_033_Du-51	150274	124538	101583	0.67598520	0.81567875	101410	173	0.998296959137
STI_LP_034_Du-52	150274	124538	103166	0.68651929	0.82838973	102989	177	0.998284318477
STI_LP_035_Du-53	150274	124538	104641	0.69633470	0.84023350	104463	178	0.99829894592
STI_LP_036_Du-54	150274	124538	102301	0.68076314	0.82144406	102128	173	0.998308911936
STI_LP_037_Du-55	150274	124538	104538	0.69564928	0.83940645	104361	177	0.998306835792
STI_LP_038_Du-56	150274	124538	104669	0.69652102	0.84045833	104492	177	0.998308954896
STI_LP_039_Du-57	150274	124538	102907	0.68479577	0.82631004	102730	177	0.998280000389
STI_LP_040_Du-58	150274	124538	100948	0.67175959	0.81057990	100766	182	0.998197091572
STI_LP_041_Du-60	150274	124538	103072	0.68589377	0.82763494	102896	176	0.998292455759
STI_LP_042_Du-61	150274	124538	102852	0.68442977	0.82586841	102670	182	0.998230467079
TIL_LP_123_Du-263	150274	124538	102021	0.67889988	0.81919575	101849	172	0.998314072593
TIL_LP_124_Du-264	150274	124538	102827	0.68426341	0.82566767	102646	181	0.99823976193
TIL_LP_125_Du-265	150274	124538	101581	0.67597189	0.81566269	101398	183	0.998198482
TIL_LP_126_Du-266	150274	124538	102269	0.68055019	0.82118711	102086	183	0.998210601453
TIL_LP_127_Du-267	150274	124538	98437	0.65505011	0.79041738	98266	171	0.998262848319
TIL_LP_128_Du-268	150274	124538	102947	0.68506195	0.82663123	102769	178	0.998270954957
TIL_LP_129_Du-269	150274	124538	102439	0.68168146	0.82255215	102265	174	0.998301428167
TIL_LP_130_Du-271	150274	124538	103325	0.68757736	0.82966645	103151	174	0.998315993225
TIL_LP_131_Du-272	150274	124538	102403	0.68144190	0.82226308	102229	174	0.99830083103
TULP_LP_115_Du-242	150274	124538	107114	0.71279130	0.86009090	107091	23	0.999785275501
TULP_LP_116_Du-243	150274	124538	106917	0.71148036	0.85850905	106904	13	0.999878410356
TULP_LP_117_Du-244	150274	124538	106070	0.70584399	0.85170791	106059	11	0.9998962949
TULP_LP_118_Du-245	150274	124538	107454	0.71505383	0.86282099	107438	16	0.999851099075
TULP_LP_119_Du-246	150274	124538	107300	0.71402904	0.86158442	107284	16	0.999850885368
TULP_LP_120_Du-248	150274	124538	107918	0.71814153	0.86654676	107895	23	0.99978687522
TULP_LP_121_Du-249	150274	124538	106540	0.70897161	0.85548186	106524	16	0.999849821663
TULP_LP_122_Du-250	150274	124538	106836	0.71094135	0.85785865	106823	13	0.99987831817
TULP_LP_140_Du-302	150274	124538	102103	0.67944555	0.81985418	102089	14	0.999862883559
TULP_LP_141_Du-303	150274	124538	103455	0.68844245	0.83071031	103428	27	0.999739016964
TULP_LP_142_Du-304	150274	124538	102171	0.67989805	0.82040020	102144	27	0.999735737147
TULP_LP_143_Du-305	150274	124538	102335	0.68098939	0.82171707	102319	16	0.999843650755
TULP_LP_144_Du-306	150274	124538	102694	0.68337836	0.82459972	102678	16	0.999844197324
TULP_LP_145_Du-307	150274	124538	101863	0.67784846	0.81792706	101839	24	0.999764389425
TULP_LP_146_Du-308	150274	124538	102682	0.68329851	0.82450336	102671	11	0.999892873142
TULP_LP_147_Du-309	150274	124538	103769	0.69053196	0.83323162	103742	27	0.999739806686
TULP_LP_148_Du-310	150274	124538	102985	0.68531482	0.82693636	102962	23	0.999776666505
