sample_id	popcode	haplotype
CROS_LP_086_Du-182	CROS	H20
CROS_LP_087_Du-183	CROS	H20
CROS_LP_088_Du-184	CROS	H20
CROS_LP_089_Du-185	CROS	H23
CROS_LP_090_Du-186	CROS	H20
CROS_LP_091_Du-187	CROS	H15
CROS_LP_092_Du-188	CROS	H15
CROS_LP_093_Du-189	CROS	H22
CROS_LP_094_Du-190	CROS	H15
CY_ALA_LP_298-Du-767	CY_ALA	H8
CY_ALA_LP_299-Du-768	CY_ALA	H8
CY_ALA_LP_357_Du-769	CY_ALA	H8
CY_BAL_LP_226_Du-602	CY_BAL	AMBIGUOUS
CY_BAL_LP_227_Du-603	CY_BAL	AMBIGUOUS
CY_BGL_LP_210_Du-577	CY_BGL	H44
CY_BGL_LP_212_Du-579	CY_BGL	H43
CY_BOU_LP_288_Du-737	CY_BOU	AMBIGUOUS
CY_BOU_LP_290_Du-739	CY_BOU	H10
CY_BOU_LP_291_Du-740	CY_BOU	H10
CY_BOU_LP_292_Du-741	CY_BOU	H10
CY_BOU_LP_354_Du-742	CY_BOU	H10
CY_CAS_LP_328_Du-610	CY_CAS	AMBIGUOUS
CY_CAS_LP_329_Du-611	CY_CAS	H9
CY_CAS_LP_330_Du-607	CY_CAS	AMBIGUOUS
CY_CAS_LP_331_Du-608	CY_CAS	H9
CY_CAS_LP_332_Du-609	CY_CAS	H9
CY_HICN_LP_236_Du-614	CY_HICN	AMBIGUOUS
CY_HICN_LP_333_Du-612	CY_HICN	AMBIGUOUS
CY_HICN_LP_334_Du-613	CY_HICN	AMBIGUOUS
CY_HICN_LP_335_Du-615	CY_HICN	AMBIGUOUS
CY_HICN_LP_336_Du-616	CY_HICN	AMBIGUOUS
CY_HICS_LP_293_Du-757	CY_HICS	H10
CY_HICS_LP_297_Du-761	CY_HICS	AMBIGUOUS
CY_HICS_LP_355_Du-762	CY_HICS	H10
CY_HICS_LP_356_Du-763	CY_HICS	H10
CY_HUN_LP_264_Du-683	CY_HUN	AMBIGUOUS
CY_HUN_LP_266_Du-685	CY_HUN	AMBIGUOUS
CY_HUN_LP_267_Du-686	CY_HUN	AMBIGUOUS
CY_HUN_LP_268_Du-687	CY_HUN	AMBIGUOUS
CY_SIE_LP_188_Du-445	CY_SIE	AMBIGUOUS
CY_SIE_LP_189_Du-446	CY_SIE	H1
CY_SIE_LP_190_Du-447	CY_SIE	AMBIGUOUS
CY_SIE_LP_191_Du-448	CY_SIE	H12
CY_WOO_LP_259_Du-664	CY_WOO	AMBIGUOUS
CY_WOO_LP_260_Du-665	CY_WOO	H11
CY_WOO_LP_261_Du-667	CY_WOO	AMBIGUOUS
CY_WOO_LP_262_Du-668	CY_WOO	H11
CY_WOO_LP_263_Du-669	CY_WOO	H11
DAN_LP_043_Du-68	DAN	AMBIGUOUS
DAN_LP_044_Du-69	DAN	AMBIGUOUS
DAN_LP_045_Du-70	DAN	AMBIGUOUS
DAN_LP_046_Du-71	DAN	AMBIGUOUS
DAN_LP_047_Du-72	DAN	AMBIGUOUS
DOV_LP_078_Du-174	DOV	H32
DOV_LP_079_Du-175	DOV	H32
DOV_LP_080_Du-176	DOV	H32
DOV_LP_081_Du-177	DOV	H32
DOV_LP_082_Du-178	DOV	H32
DOV_LP_083_Du-179	DOV	H32
DOV_LP_084_Du-180	DOV	H32
DU-173	DUSE	H25
DU-229	DUSE	H31
DU-247	DUSE	H13
DU-254	DUSE	H13
DU-270	DUSE	H30
DU-297	DUSE	H13
DU-443	DUSE	H1
DU-4A	DUSE	H20
DU014LP012	DUSE	H10
DU037LP013	DUSE	H10
DU059LP015	DUSE	H29
DU078LP011	DUSE	AMBIGUOUS
DU079LP010	DUSE	H6
DUD_LP_132_Du-283	DUD	AMBIGUOUS
DUD_LP_133_Du-284	DUD	H13
DUD_LP_134_Du-285	DUD	H13
DUD_LP_135_Du-286	DUD	H13
DUD_LP_136_Du-287	DUD	H13
DUD_LP_137_Du-288	DUD	H23
DUD_LP_138_Du-289	DUD	H13
DUD_LP_139_Du-290	DUD	H13
KIRN_LP_179_Du-421	KIRN	H22
KIRN_LP_180_Du-422	KIRN	H22
KIRN_LP_181_Du-423	KIRN	H22
KIRN_LP_182_Du-424	KIRN	H22
KIRN_LP_183_Du-425	KIRN	H22
KIRN_LP_184_Du-426	KIRN	H22
KIRN_LP_185_Du-427	KIRN	H22
KIRN_LP_186_Du-428	KIRN	H22
KIRN_LP_187_Du-429	KIRN	H22
KIRT_LP_159_Du-364	KIRT	H22
KIRT_LP_160_Du-365	KIRT	H22
KIRT_LP_161_Du-366	KIRT	H22
KIRT_LP_162_Du-367	KIRT	H22
KIRT_LP_163_Du-368	KIRT	H22
KIRT_LP_164_Du-369	KIRT	H22
KIRT_LP_165_Du-370	KIRT	H22
KIRT_LP_166_Du-371	KIRT	H22
KIRT_LP_167_Du-372	KIRT	H22
KIRT_LP_168_Du-373	KIRT	H22
MALV_LP_095_Du-201	MALV	H21
MALV_LP_096_Du-202	MALV	H21
MALV_LP_097_Du-203	MALV	H21
MALV_LP_098_Du-204	MALV	H21
MALV_LP_099_Du-205	MALV	H21
MALV_LP_100_Du-206	MALV	H21
MALV_LP_101_Du-207	MALV	H21
MALV_LP_102_Du-208	MALV	H21
MALV_LP_103_Du-209	MALV	H21
MALV_LP_104_Du-210	MALV	H21
OCO_LP_058_Du-115	OCO	H42
OCO_LP_059_Du-106	OCO	H40
OCO_LP_060_Du-107	OCO	AMBIGUOUS
OCO_LP_061_Du-108	OCO	H40
OCO_LP_062_Du-109	OCO	H39
OCO_LP_063_Du-110	OCO	H41
OCO_LP_064_Du-111	OCO	AMBIGUOUS
OCO_LP_065_Du-112	OCO	AMBIGUOUS
OCO_LP_066_Du-113	OCO	AMBIGUOUS
OCO_LP_067_Du-114	OCO	AMBIGUOUS
QUI1_LP_249_Du-648	QUI1	H36
QUI1_LP_250_Du-649	QUI1	H37
QUI1_LP_252_Du-651	QUI1	H36
QUI1_LP_253_Du-652	QUI1	H36
QUI1_LP_254_Du-653	QUI1	AMBIGUOUS
QUI1_LP_255_Du-654	QUI1	H36
QUI1_LP_257_Du-656	QUI1	AMBIGUOUS
QUI1_LP_258_Du-657	QUI1	H37
QUI2_LP_243_Du-631	QUI2	H25
QUI2_LP_244_Du-632	QUI2	H25
QUI2_LP_245_Du-633	QUI2	H25
QUI2_LP_246_Du-634	QUI2	H25
QUI2_LP_247_Du-635	QUI2	H25
QUI2_LP_248_Du-636	QUI2	H25
QUI2_LP_337_Du-638	QUI2	H25
QUI2_LP_338_Du-639	QUI2	H25
QUI2_LP_339_Du-640	QUI2	H25
QUI2_LP_340_Du-641	QUI2	H25
QUIN_LP_069_Du-155	QUIN	H25
QUIN_LP_070_Du-156	QUIN	H25
QUIN_LP_071_Du-157	QUIN	H25
QUIN_LP_072_Du-158	QUIN	H25
QUIN_LP_073_Du-159	QUIN	H25
QUIN_LP_074_Du-160	QUIN	H25
QUIN_LP_075_Du-161	QUIN	H25
QUIN_LP_076_Du-162	QUIN	H25
QUIN_LP_077_Du-163	QUIN	H25
QUIN_LP_318_Du-164	QUIN	H25
RIC_LP_192_Du-521	RIC	H22
RIC_LP_193_Du-522	RIC	H22
RIC_LP_194_Du-523	RIC	H22
RIC_LP_195_Du-524	RIC	H22
RIC_LP_196_Du-525	RIC	H22
RIC_LP_197_Du-526	RIC	AMBIGUOUS
RIC_LP_198_Du-527	RIC	H22
RIC_LP_199_Du-528	RIC	H22
RIC_LP_200_Du-529	RIC	H22
RIC_LP_201_Du-530	RIC	H22
RSV_LP_049_Du-85	RSV	H26
RSV_LP_050_Du-87	RSV	H28
RSV_LP_051_Du-88	RSV	H28
RSV_LP_052_Du-89	RSV	AMBIGUOUS
RSV_LP_053_Du-90	RSV	H28
RSV_LP_055_Du-92	RSV	H26
RSV_LP_057_Du-94	RSV	H26
RSV_LP_315_Du-95	RSV	H26
RSV_LP_316_Du-96	RSV	H27
SILG_LP_149_Du-343	SILG	AMBIGUOUS
SILG_LP_150_Du-344	SILG	H7
SILG_LP_151_Du-345	SILG	H38
SILG_LP_152_Du-346	SILG	H38
SILG_LP_153_Du-347	SILG	H7
SILG_LP_154_Du-348	SILG	H7
SILG_LP_155_Du-349	SILG	H38
SILG_LP_156_Du-350	SILG	H38
SILG_LP_157_Du-351	SILG	AMBIGUOUS
SILG_LP_158_Du-352	SILG	AMBIGUOUS
SILR_LP_346_Du-729	SILR	AMBIGUOUS
SILR_LP_347_Du-730	SILR	AMBIGUOUS
SILR_LP_348_Du-731	SILR	AMBIGUOUS
SILR_LP_349_Du-732	SILR	AMBIGUOUS
SILR_LP_351_Du-734	SILR	AMBIGUOUS
SILR_LP_353_Du-736	SILR	H17
STI_LP_027_Du-45	STI	AMBIGUOUS
STI_LP_028_Du-46	STI	H29
STI_LP_029_Du-47	STI	AMBIGUOUS
STI_LP_030_Du-48	STI	H29
STI_LP_031_Du-49	STI	H29
STI_LP_032_Du-50	STI	H29
STI_LP_033_Du-51	STI	AMBIGUOUS
STI_LP_034_Du-52	STI	AMBIGUOUS
STI_LP_035_Du-53	STI	H29
STI_LP_036_Du-54	STI	H29
STI_LP_037_Du-55	STI	H29
STI_LP_038_Du-56	STI	H29
STI_LP_039_Du-57	STI	AMBIGUOUS
STI_LP_040_Du-58	STI	AMBIGUOUS
STI_LP_041_Du-60	STI	H29
STI_LP_042_Du-61	STI	H2
TIL_LP_123_Du-263	TIL	AMBIGUOUS
TIL_LP_124_Du-264	TIL	H3
TIL_LP_125_Du-265	TIL	AMBIGUOUS
TIL_LP_126_Du-266	TIL	AMBIGUOUS
TIL_LP_128_Du-268	TIL	H4
TIL_LP_129_Du-269	TIL	H30
TIL_LP_130_Du-271	TIL	H30
TIL_LP_131_Du-272	TIL	H30
TULP_LP_115_Du-242	TULP	H16
TULP_LP_116_Du-243	TULP	H13
TULP_LP_117_Du-244	TULP	H13
TULP_LP_118_Du-245	TULP	H13
TULP_LP_119_Du-246	TULP	H13
TULP_LP_120_Du-248	TULP	H16
TULP_LP_121_Du-249	TULP	H13
TULP_LP_122_Du-250	TULP	H13
TULP_LP_140_Du-302	TULP	H13
TULP_LP_141_Du-303	TULP	H16
TULP_LP_142_Du-304	TULP	H16
TULP_LP_143_Du-305	TULP	H14
TULP_LP_144_Du-306	TULP	AMBIGUOUS
TULP_LP_145_Du-307	TULP	H16
TULP_LP_146_Du-308	TULP	H13
TULP_LP_147_Du-309	TULP	H16
TULP_LP_148_Du-310	TULP	H16
