feature_type	name	start	end	length_bp	confidence	repeat_overlap_bp	repeat_overlap_fraction	high_mapq_consensus_overlap_bp	high_mapq_consensus_overlap_fraction
gene	petD	64242	65453	1212	high	0	0.000000	1211	0.999175
CDS	petD	64977	65450	474	high	0	0.000000	474	1.000000
gene	rpoA	65641	66642	1002	high	0	0.000000	1002	1.000000
CDS	rpoA	65641	66642	1002	high	0	0.000000	1002	1.000000
gene	rps11	66708	67124	417	high	0	0.000000	417	1.000000
CDS	rps11	66708	67124	417	high	0	0.000000	417	1.000000
gene	rpl36	67241	67354	114	high	0	0.000000	114	1.000000
CDS	rpl36	67241	67354	114	high	0	0.000000	114	1.000000
gene	infA	67475	67717	243	high	0	0.000000	243	1.000000
CDS	infA	67475	67717	243	high	0	0.000000	243	1.000000
gene	rps8	67839	68243	405	high	0	0.000000	405	1.000000
CDS	rps8	67839	68243	405	high	0	0.000000	405	1.000000
gene	rpl14	68394	68762	369	high	0	0.000000	369	1.000000
CDS	rpl14	68394	68762	369	high	0	0.000000	369	1.000000
gene	rpl16	68897	70316	1420	high	0	0.000000	1420	1.000000
CDS	rpl16	68900	69298	399	high	0	0.000000	399	1.000000
gene	rps3	70468	71124	657	high	0	0.000000	657	1.000000
CDS	rps3	70471	71124	654	high	0	0.000000	654	1.000000
gene	rpl22	71242	71628	387	high	0	0.000000	387	1.000000
CDS	rpl22	71242	71628	387	high	0	0.000000	387	1.000000
gene	rps19	71665	71943	279	high	0	0.000000	279	1.000000
CDS	rps19	71665	71943	279	high	0	0.000000	279	1.000000
CDS	rpl2	71998	72432	435	low	0	0.000000	435	1.000000
gene	rpl2	71998	73488	1491	high	0	0.000000	1491	1.000000
gene	rpl23	73512	73793	282	high	0	0.000000	282	1.000000
CDS	rpl23	73512	73793	282	high	0	0.000000	282	1.000000
gene	trnI-CAU	73959	74032	74	high	0	0.000000	74	1.000000
tRNA	trnI-CAU	73959	74032	74	high	0	0.000000	74	1.000000
gene	ycf15	81035	81471	437	high	0	0.000000	437	1.000000
gene	trnL-CAA	81883	81961	79	high	0	0.000000	79	1.000000
tRNA	trnL-CAA	81883	81961	79	high	0	0.000000	79	1.000000
gene	ndhB	82521	84731	2211	high	2211	1.000000	0	0.000000
CDS	ndhB	83955	84731	777	low	777	1.000000	0	0.000000
gene	rps7	85052	85519	468	high	468	1.000000	0	0.000000
CDS	rps7	85052	85519	468	high	468	1.000000	0	0.000000
gene	rps12	85573	86366	794	high	794	1.000000	0	0.000000
CDS	rps12	86133	86366	234	low	234	1.000000	0	0.000000
gene	trnV-GAC	87612	87683	72	high	72	1.000000	0	0.000000
tRNA	trnV-GAC	87612	87683	72	high	72	1.000000	0	0.000000
gene	rrn16	87911	89400	1490	high	1490	1.000000	0	0.000000
rRNA	rrn16	87911	89400	1490	high	1490	1.000000	0	0.000000
tRNA	trnI-GAU	89698	89740	43	low	43	1.000000	0	0.000000
tRNA	trnA-UGC	90781	90818	38	low	38	1.000000	0	0.000000
gene	trnA-UGC	90781	91687	907	high	907	1.000000	0	0.000000
gene	rrn23	91840	94647	2808	high	2808	1.000000	609	0.216880
rRNA	rrn23	91840	94647	2808	high	2808	1.000000	609	0.216880
gene	rrn4.5	94747	94849	103	high	103	1.000000	0	0.000000
rRNA	rrn4.5	94747	94849	103	high	103	1.000000	0	0.000000
gene	rrn5	95069	95189	121	high	121	1.000000	0	0.000000
rRNA	rrn5	95069	95189	121	high	121	1.000000	0	0.000000
gene	trnR-ACG	95421	95494	74	high	74	1.000000	0	0.000000
tRNA	trnR-ACG	95421	95494	74	high	74	1.000000	0	0.000000
gene	trnN-GUU	96087	96159	73	high	73	1.000000	0	0.000000
tRNA	trnN-GUU	96087	96159	73	high	73	1.000000	0	0.000000
gene	ycf1	96474	101639	5166	high	5166	1.000000	1047	0.202671
CDS	ycf1	96474	101639	5166	high	5166	1.000000	1047	0.202671
CDS	rps15	101850	102128	279	high	279	1.000000	175	0.627240
gene	rps15	101850	102128	279	high	279	1.000000	175	0.627240
CDS	ndhH	102205	103401	1197	high	1197	1.000000	0	0.000000
gene	ndhH	102205	103401	1197	high	1197	1.000000	0	0.000000
CDS	ndhA	103403	103954	552	low	552	1.000000	0	0.000000
CDS	NADH_dehydrogenase_subunit_A	103403	103954	552	low	552	1.000000	0	0.000000
gene	ndhA	103403	105483	2081	high	2081	1.000000	591	0.283998
CDS	ndhI	105561	106064	504	high	504	1.000000	0	0.000000
gene	ndhI	105561	106064	504	high	504	1.000000	0	0.000000
CDS	ndhG	106309	106839	531	high	531	1.000000	0	0.000000
gene	ndhG	106309	106839	531	high	531	1.000000	0	0.000000
CDS	ndhE	107015	107320	306	high	306	1.000000	0	0.000000
gene	ndhE	107015	107320	306	high	306	1.000000	0	0.000000
CDS	psaC	107625	107870	246	high	202	0.821138	246	1.000000
gene	psaC	107625	107870	246	high	202	0.821138	246	1.000000
gene	ndhD	107998	109502	1505	high	0	0.000000	1505	1.000000
CDS	ndhD	107998	109502	1505	high	0	0.000000	1505	1.000000
gene	ccsA	109758	110715	958	high	0	0.000000	958	1.000000
CDS	ccsA	109758	110715	958	high	0	0.000000	958	1.000000
gene	trnL-UAG	110787	110866	80	high	0	0.000000	80	1.000000
tRNA	trnL-UAG	110787	110866	80	high	0	0.000000	80	1.000000
gene	rpl32	111332	111490	159	high	0	0.000000	159	1.000000
CDS	rpl32	111332	111490	159	high	0	0.000000	159	1.000000
CDS	ndhF	112099	114317	2219	high	0	0.000000	2219	1.000000
gene	ndhF	112099	114317	2219	high	0	0.000000	2219	1.000000
gene	trnI-GAU	121139	122155	1017	high	0	0.000000	1017	1.000000
CDS	ycf2	130955	137724	6770	high	6770	1.000000	545	0.080502
gene	ycf2	130955	137724	6770	high	6770	1.000000	545	0.080502
gene	trnH-GUG	140018	140090	73	high	73	1.000000	0	0.000000
tRNA	trnH-GUG	140018	140090	73	high	73	1.000000	0	0.000000
CDS	psbA	140337	141398	1062	high	1062	1.000000	0	0.000000
gene	psbA	140337	141398	1062	high	1062	1.000000	0	0.000000
gene	matK	141909	143411	1503	high	1503	1.000000	0	0.000000
CDS	matK	141909	143411	1503	high	1503	1.000000	0	0.000000
tRNA	trnK-UUU	144091	144127	37	high	37	1.000000	0	0.000000
gene	trnK-UUU	144091	144127	37	high	37	1.000000	0	0.000000
CDS	rps16	144790	145023	234	high	234	1.000000	0	0.000000
gene	rps16	144790	145845	1056	high	1056	1.000000	0	0.000000
gene	trnQ-UUG	147337	147408	72	high	72	1.000000	72	1.000000
tRNA	trnQ-UUG	147337	147408	72	high	72	1.000000	72	1.000000
CDS	psbK	147703	147888	186	high	186	1.000000	80	0.430108
gene	psbK	147703	147888	186	high	186	1.000000	80	0.430108
CDS	psbI	148281	148391	111	high	111	1.000000	0	0.000000
gene	psbI	148281	148391	111	high	111	1.000000	0	0.000000
gene	trnS-GCU	148560	148647	88	high	88	1.000000	0	0.000000
tRNA	trnS-GCU	148560	148647	88	high	88	1.000000	0	0.000000
gene	trnG-GCC	149287	150025	739	high	739	1.000000	0	0.000000
tRNA	trnG-GCC	149972	150025	54	medium	54	1.000000	0	0.000000
gene	trnR-UCU	150245	150316	72	high	30	0.416667	0	0.000000
tRNA	trnR-UCU	150245	150316	72	high	30	0.416667	0	0.000000
