feature_type	gene	nc085682_feature_count	candidate_projected_present_count	candidate_projected_partial_count	candidate_projected_absent_count	candidate_draft_feature_count	status
gene	ndhB	2	2	0	0	1	present_by_alignment_draft_count_diff
gene	ndhC	1	1	0	0	1	match
gene	ndhD	1	1	0	0	1	match
gene	ndhE	1	1	0	0	1	match
gene	ndhF	1	1	0	0	1	match
gene	ndhG	1	1	0	0	1	match
gene	ndhH	1	1	0	0	1	match
gene	ndhI	1	1	0	0	1	match
gene	ndhJ	1	1	0	0	1	match
gene	ndhK	1	1	0	0	1	match
gene	petA	1	1	0	0	1	match
gene	petB	1	1	0	0	1	match
gene	petD	1	1	0	0	1	match
gene	petG	1	1	0	0	1	match
gene	petL	1	1	0	0	1	match
gene	petN	1	1	0	0	1	match
gene	psaA	1	1	0	0	1	match
gene	psaB	1	1	0	0	1	match
gene	psaC	1	1	0	0	1	match
gene	psaI	1	1	0	0	1	match
gene	psaJ	1	1	0	0	1	match
gene	psbA	1	1	0	0	1	match
gene	psbB	1	1	0	0	1	match
gene	psbC	1	1	0	0	1	match
gene	psbD	1	1	0	0	1	match
gene	psbE	1	1	0	0	1	match
gene	psbF	1	1	0	0	1	match
gene	psbH	1	1	0	0	1	match
gene	psbI	1	1	0	0	1	match
gene	psbJ	1	1	0	0	1	match
gene	psbK	1	1	0	0	1	match
gene	psbL	1	1	0	0	1	match
gene	psbM	1	1	0	0	1	match
gene	psbN	1	1	0	0	1	match
gene	psbT	1	1	0	0	1	match
gene	rbcL	1	1	0	0	1	match
gene	rpl14	1	1	0	0	1	match
gene	rpl16	1	1	0	0	1	match
gene	rpl2	2	2	0	0	1	present_by_alignment_draft_count_diff
gene	rpl20	1	1	0	0	1	match
gene	rpl22	1	1	0	0	1	match
gene	rpl23	2	2	0	0	1	present_by_alignment_draft_count_diff
gene	rpl32	1	1	0	0	1	match
gene	rpl33	1	1	0	0	1	match
gene	rpl36	1	1	0	0	1	match
gene	rpoA	1	1	0	0	1	match
gene	rpoB	1	1	0	0	1	match
gene	rpoC1	1	1	0	0	1	match
gene	rpoC2	1	1	0	0	1	match
gene	rps11	1	1	0	0	1	match
gene	rps12	2	2	0	0	1	present_by_alignment_draft_count_diff
gene	rps14	1	1	0	0	1	match
gene	rps15	1	1	0	0	1	match
gene	rps16	1	1	0	0	1	match
gene	rps18	1	1	0	0	1	match
gene	rps19	2	2	0	0	1	present_by_alignment_draft_count_diff
gene	rps2	1	1	0	0	1	match
gene	rps3	1	1	0	0	1	match
gene	rps4	1	1	0	0	1	match
gene	rps7	2	2	0	0	1	present_by_alignment_draft_count_diff
gene	rps8	1	1	0	0	1	match
gene	rrn16	2	2	0	0	1	present_by_alignment_draft_count_diff
gene	rrn23	2	2	0	0	1	present_by_alignment_draft_count_diff
gene	rrn4.5	2	2	0	0	1	present_by_alignment_draft_count_diff
gene	rrn5	2	2	0	0	1	present_by_alignment_draft_count_diff
gene	trnA-UGC	2	2	0	0	1	present_by_alignment_draft_count_diff
gene	trnC-GCA	1	1	0	0	1	match
gene	trnD-GUC	1	1	0	0	1	match
gene	trnE-UUC	1	1	0	0	1	match
gene	trnF-GAA	1	1	0	0	1	match
gene	trnfM-CAU	1	1	0	0	1	match
gene	trnG-GCC	1	1	0	0	1	match
gene	trnG-UCC	1	1	0	0	1	match
gene	trnH-GUG	1	1	0	0	1	match
gene	trnI-CAU	2	2	0	0	1	present_by_alignment_draft_count_diff
gene	trnI-GAU	2	2	0	0	1	present_by_alignment_draft_count_diff
gene	trnK-UUU	1	1	0	0	1	match
gene	trnL-CAA	2	2	0	0	1	present_by_alignment_draft_count_diff
gene	trnL-UAA	1	1	0	0	1	match
gene	trnL-UAG	1	1	0	0	1	match
gene	trnM-CAU	1	1	0	0	1	match
gene	trnN-GUU	2	2	0	0	1	present_by_alignment_draft_count_diff
gene	trnP-UGG	1	1	0	0	1	match
gene	trnQ-UUG	1	1	0	0	1	match
gene	trnR-ACG	2	2	0	0	1	present_by_alignment_draft_count_diff
gene	trnR-UCU	1	1	0	0	1	match
gene	trnS-GCU	1	1	0	0	1	match
gene	trnS-GGA	1	1	0	0	1	match
gene	trnS-UGA	1	1	0	0	1	match
gene	trnT-GGU	1	1	0	0	1	match
gene	trnT-UGU	1	1	0	0	1	match
gene	trnV-GAC	2	2	0	0	1	present_by_alignment_draft_count_diff
gene	trnV-UAC	1	1	0	0	1	match
gene	trnW-CCA	1	1	0	0	1	match
gene	trnY-GUA	1	1	0	0	1	match
gene	ycf1	2	2	0	0	1	present_by_alignment_draft_count_diff
gene	ycf15	2	2	0	0	1	present_by_alignment_draft_count_diff
gene	ycf2	2	2	0	0	1	present_by_alignment_draft_count_diff
gene	ycf3	1	1	0	0	1	match
gene	ycf4	1	1	0	0	1	match
rRNA	rrn16	2	2	0	0	1	present_by_alignment_draft_count_diff
rRNA	rrn23	2	2	0	0	1	present_by_alignment_draft_count_diff
rRNA	rrn4.5	2	2	0	0	1	present_by_alignment_draft_count_diff
rRNA	rrn5	2	2	0	0	1	present_by_alignment_draft_count_diff
tRNA	trnA-UGC	2	2	0	0	1	present_by_alignment_draft_count_diff
tRNA	trnC-GCA	1	1	0	0	1	match
tRNA	trnD-GUC	1	1	0	0	1	match
tRNA	trnE-UUC	1	1	0	0	1	match
tRNA	trnF-GAA	1	1	0	0	1	match
tRNA	trnfM-CAU	1	1	0	0	1	match
tRNA	trnG-GCC	1	1	0	0	1	match
tRNA	trnG-UCC	1	1	0	0	1	match
tRNA	trnH-GUG	1	1	0	0	1	match
tRNA	trnI-CAU	2	2	0	0	1	present_by_alignment_draft_count_diff
tRNA	trnI-GAU	2	2	0	0	1	present_by_alignment_draft_count_diff
tRNA	trnK-UUU	1	1	0	0	1	match
tRNA	trnL-CAA	2	2	0	0	1	present_by_alignment_draft_count_diff
tRNA	trnL-UAA	1	1	0	0	1	match
tRNA	trnL-UAG	1	1	0	0	1	match
tRNA	trnM-CAU	1	1	0	0	1	match
tRNA	trnN-GUU	2	2	0	0	1	present_by_alignment_draft_count_diff
tRNA	trnP-UGG	1	1	0	0	1	match
tRNA	trnQ-UUG	1	1	0	0	1	match
tRNA	trnR-ACG	2	2	0	0	1	present_by_alignment_draft_count_diff
tRNA	trnR-UCU	1	1	0	0	1	match
tRNA	trnS-GCU	1	1	0	0	1	match
tRNA	trnS-GGA	1	1	0	0	1	match
tRNA	trnS-UGA	1	1	0	0	1	match
tRNA	trnT-GGU	1	1	0	0	1	match
tRNA	trnT-UGU	1	1	0	0	1	match
tRNA	trnV-GAC	2	2	0	0	1	present_by_alignment_draft_count_diff
tRNA	trnV-UAC	1	1	0	0	1	match
tRNA	trnW-CCA	1	1	0	0	1	match
tRNA	trnY-GUA	1	1	0	0	1	match
