feature_id	gene	copy_number	product	ref_location	strand	transl_table	codon_start	projection_status	projection_orientation	candidate_projected_strand	projected_query_coverage	projected_candidate_start	projected_candidate_end	ref_cds_length_bp	candidate_projected_cds_length_bp	codons_compared	nucleotide_differences_in_compared_codons	single_nt_synonymous_substitutions	single_nt_nonsynonymous_substitutions	complex_codon_changes	amino_acid_changes	codons_with_candidate_gaps	ambiguous_codons	candidate_internal_stop	partial_codon_or_frameshift_flag	inclusion_reason
CDS:psbM:47	psbM	1	photosystem II protein M	complement(29782..29886)	-	11	1	present_by_projection	+	-	1.000000	29705	29809	105	105	35	1	1	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:psbD:57	psbD	1	photosystem II protein D2	33023..34084	+	11	1	present_by_projection	+	+	1.000000	32477	33538	1062	1062	354	1	1	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:psbC:59	psbC	1	photosystem II CP43 chlorophyll apoprotein	34032..35453	+	11	1	present_by_projection	+	+	1.000000	33486	34907	1422	1422	474	3	3	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:lhbA:63	lhbA	1	LhbA	36029..36217	+	11	1	present_by_projection	+	+	1.000000	35490	35678	189	189	63	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rps14:69	rps14	1	ribosomal protein S14	complement(37332..37634)	-	11	1	present_by_projection	+	-	1.000000	36778	37080	303	303	101	2	1	1	0	1	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:psaB:71	psaB	1	photosystem I P700 apoprotein A2	complement(37749..39953)	-	11	1	present_by_projection	+	-	1.000000	37195	39399	2205	2205	735	7	6	1	0	1	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:psaA:73	psaA	1	photosystem I P700 apoprotein A1	complement(39979..42231)	-	11	1	present_by_projection	+	-	1.000000	39425	41677	2253	2253	751	3	2	1	0	1	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:ycf3:75	ycf3	1	hypothetical chloroplast RF34	complement(join(42856..43008,43752..43979,44686..44814))	-	11	1	present_by_projection	+	-	1.000000	42314	44273	510	510	170	1	1	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rps4:79	rps4	1	ribosomal protein S4	complement(45371..45976)	-	11	1	present_by_projection	+	-	1.000000	44822	45427	606	606	202	1	1	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:ndhJ:87	ndhJ	1	NADH-plastoquinone oxidoreductase subunit J	complement(48296..48772)	-	11	1	present_by_projection	+	-	1.000000	47757	48233	477	477	159	1	1	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:ndhC:90	ndhC	1	NADH-plastoquinone oxidoreductase subunit 3	complement(49614..49976)	-	11	1	present_by_projection	+	-	1.000000	49075	49437	363	363	121	1	1	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:atpE:96	atpE	1	ATP synthase CF1 epsilon subunit	complement(51924..52325)	-	11	1	present_by_projection	+	-	1.000000	51394	51795	402	402	134	1	0	1	0	1	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:atpB:98	atpB	1	ATP synthase CF1 beta subunit	complement(52322..53818)	-	11	1	present_by_projection	+	-	1.000000	51792	53288	1497	1497	499	9	7	2	0	2	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rbcL:100	rbcL	1	ribulose-1,5-bisphosphatecarboxylase/oxygenaselargesubunit	54511..55938	+	11	1	present_by_projection	+	+	1.000000	53982	55409	1428	1428	476	5	3	2	0	2	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:accD:102	accD	1	acetyl-CoAcarboxylasecarboxyltransferasebetasubunit	56582..58027	+	11	1	present_by_projection	+	+	0.996542	56046	57486	1446	1441	482	4	4	0	0	0	3	0	no	yes	excluded_from_clean_syn_nonsyn_totals_candidate_gap
CDS:psaI:104	psaI	1	photosystem I subunit VIII	58600..58710	+	11	1	present_by_projection	+	+	1.000000	58057	58167	111	111	37	1	1	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:ycf4:106	ycf4	1	photosystem I assembly protein Ycf4	58949..59503	+	11	1	present_by_projection	+	+	1.000000	58406	58960	555	555	185	2	1	1	0	1	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:cemA:108	cemA	1	chloroplast envelope membrane protein	60029..60718	+	11	1	present_by_projection	+	+	1.000000	59557	60246	690	690	230	4	1	3	0	3	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:petA:110	petA	1	cytochrome f	60943..61905	+	11	1	present_by_projection	+	+	1.000000	60472	61434	963	963	321	3	2	1	0	1	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:psbJ:112	psbJ	1	photosystem II protein J	complement(62635..62757)	-	11	1	present_by_projection	+	-	1.000000	62163	62285	123	123	41	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:psbL:114	psbL	1	photosystem II protein L	complement(62892..63089)	-	11	1	present_by_projection	+	-	1.000000	62420	62618	198	198	66	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:psbF:116	psbF	1	photosystem II cytochrome b559 beta subunit	complement(63031..63150)	-	11	1	present_by_projection	+	-	1.000000	62560	62679	120	120	40	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:psbE:118	psbE	1	photosystem II cytochrome b559 alpha subunit	complement(63160..63411)	-	11	1	present_by_projection	+	-	1.000000	62689	62940	252	252	84	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:petL:120	petL	1	cytochrome b6/f complex subunit VI	64468..64563	+	11	1	present_by_projection	+	+	1.000000	64005	64100	96	96	32	1	1	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:petG:122	petG	1	cytochrome b6/f complex subunit V	64734..64847	+	11	1	present_by_projection	+	+	1.000000	64272	64385	114	114	38	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:psaJ:128	psaJ	1	photosystem I subunit IX	65532..65666	+	11	1	present_by_projection	+	+	1.000000	65070	65204	135	135	45	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rpl33:130	rpl33	1	ribosomal protein L33	66105..66305	+	11	1	present_by_projection	+	+	1.000000	65646	65846	201	201	67	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rps18:132	rps18	1	ribosomal protein S18	66472..66777	+	11	1	present_by_projection	+	+	1.000000	65989	66294	306	306	102	5	3	2	0	2	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rpl20:134	rpl20	1	ribosomal protein L20	complement(67222..67302)	-	11	1	present_by_projection	+	-	1.000000	66761	66842	81	81	27	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rps12:136	rps12	2	ribosomal protein S12	join(complement(68143..68256),136254..136484,137021..137047)	+	11	1	present_by_projection	+	+	1.000000	67671	136534	372	372	124	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:clpP:138	clpP	1	Clp protease proteolytic subunit	complement(join(68402..68629,69186..69476,70353..70421))	-	11	1	present_by_projection	+	-	1.000000	67930	69949	588	588	196	1	1	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:psbB:140	psbB	1	photosystem II CP47 chlorophyll apoprotein	70862..72388	+	11	1	present_by_projection	+	+	1.000000	70390	71916	1527	1527	509	2	1	1	0	1	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:psbT:142	psbT	1	photosystem II protein T	72568..72669	+	11	1	present_by_projection	+	+	1.000000	72096	72197	102	102	34	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:psbN:144	psbN	1	photosystem II protein N	complement(72730..72861)	-	11	1	present_by_projection	+	-	1.000000	72258	72389	132	132	44	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:psbH:146	psbH	1	photosystem II phosphoprotein	72964..73185	+	11	1	present_by_projection	+	+	1.000000	72492	72713	222	222	74	2	1	1	0	1	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:petB:148	petB	1	cytochrome b6	join(73303..73308,74136..74783)	+	11	1	present_by_projection	+	+	1.000000	72831	74299	654	654	218	2	2	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:petD:150	petD	1	cytochrome b6/f complex subunit IV	join(74978..74986,75714..76187)	+	11	1	present_by_projection	+	+	1.000000	74499	75710	483	483	161	1	1	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rpoA:152	rpoA	1	RNA polymerase alpha subunit	complement(76375..77376)	-	11	1	present_by_projection	+	-	1.000000	75898	76899	1002	1002	334	2	1	1	0	1	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rps11:154	rps11	1	ribosomal protein S11	complement(77442..77858)	-	11	1	present_by_projection	+	-	1.000000	76965	77381	417	417	139	2	1	1	0	1	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rpl36:156	rpl36	1	ribosomal protein L36	complement(77975..78088)	-	11	1	present_by_projection	+	-	1.000000	77498	77611	114	114	38	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:infA:158	infA	1	translational initiation factor 1	complement(78209..78451)	-	11	1	present_by_projection	+	-	1.000000	77732	77974	243	243	81	1	0	1	0	1	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rps8:160	rps8	1	ribosomal protein S8	complement(78573..78977)	-	11	1	present_by_projection	+	-	1.000000	78096	78500	405	405	135	1	0	1	0	1	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rpl14:162	rpl14	1	ribosomal protein L14	complement(79128..79496)	-	11	1	present_by_projection	+	-	1.000000	78651	79019	369	369	123	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rpl16:164	rpl16	1	ribosomal protein L16	complement(join(79630..80028,81040..81048))	-	11	1	present_by_projection	+	-	1.000000	79154	80573	408	408	136	1	1	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rps3:166	rps3	1	ribosomal protein S3	complement(81200..81856)	-	11	1	present_by_projection	+	-	1.000000	80725	81381	657	657	219	4	4	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rpl22:168	rpl22	1	ribosomal protein L22	complement(81972..82352)	-	11	1	present_by_projection	+	-	1.000000	81499	81879	381	381	127	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rps19:170	rps19	1	ribosomal protein S19	complement(82395..82673)	-	11	1	present_by_projection	+	-	1.000000	81922	150274	279	279	93	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rpl2:173	rpl2	1	ribosomal protein L2	complement(join(82728..83161,83828..84218))	-	11	1	present_by_projection	-	+	1.000000	148620	150110	825	825	275	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rpl23:175	rpl23	1	ribosomal protein L23	complement(84242..84523)	-	11	1	present_by_projection	-	+	1.000000	148315	148596	282	282	94	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:ycf2:179	ycf2	1	hypothetical chloroplast RF21	84856..91617	+	11	1	present_by_projection	-	-	1.000000	141212	147982	6762	6762	2254	9	2	4	1	5	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:ndhB:184	ndhB	1	NADH-plastoquinone oxidoreductase subunit 2	complement(join(93245..94000,94679..95455))	-	11	1	present_by_projection	-	+	1.000000	137376	139586	1533	1533	511	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rps7:186	rps7	1	ribosomal protein S7	complement(95776..96243)	-	11	1	present_by_projection	-	+	1.000000	136588	137055	468	468	156	1	0	1	0	1	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:ndhF:207	ndhF	1	NADH-plastoquinone oxidoreductase subunit 5	complement(108274..110478)	-	11	1	present_by_projection	-	+	0.999093	122356	124558	2205	2203	735	19	3	16	0	16	1	0	no	yes	excluded_from_clean_syn_nonsyn_totals_candidate_gap
CDS:rpl32:209	rpl32	1	ribosomal protein L32	111096..111254	+	11	1	present_by_projection	-	-	1.000000	121589	121747	159	159	53	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:ccsA:213	ccsA	1	cytochrome c heme attachment protein	111873..112832	+	11	1	present_by_projection	-	-	0.997917	120015	120972	960	958	320	1	0	1	0	1	2	0	yes	yes	excluded_from_clean_syn_nonsyn_totals_candidate_gap
CDS:ndhD:215	ndhD	1	NADH-plastoquinone oxidoreductase subunit 4	complement(113099..114604)	-	11	1	present_by_projection	-	+	0.999336	118255	119759	1506	1505	502	9	6	3	0	3	1	0	yes	yes	excluded_from_clean_syn_nonsyn_totals_candidate_gap
CDS:psaC:217	psaC	1	photosystem I subunit VII	complement(114734..114979)	-	11	1	present_by_projection	-	+	1.000000	117882	118127	246	246	82	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:ndhE:219	ndhE	1	NADH-plastoquinone oxidoreductase subunit 4L	complement(115284..115589)	-	11	1	present_by_projection	-	+	1.000000	117272	117577	306	306	102	3	1	2	0	2	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:ndhG:221	ndhG	1	NADH-plastoquinone oxidoreductase subunit 6	complement(115765..116295)	-	11	1	present_by_projection	-	+	1.000000	116566	117096	531	531	177	3	2	1	0	1	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:ndhI:223	ndhI	1	NADH-plastoquinone oxidoreductase subunit I	complement(116540..117043)	-	11	1	present_by_projection	-	+	1.000000	115818	116321	504	504	168	3	1	2	0	2	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:ndhA:225	ndhA	1	NADH-plastoquinone oxidoreductase subunit 1	complement(join(117121..117654,118653..119204))	-	11	1	present_by_projection	-	+	1.000000	113660	115740	1086	1086	362	7	2	3	1	4	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:ndhH:227	ndhH	1	NADH-plastoquinone oxidoreductase subunit 7	complement(119206..120402)	-	11	1	present_by_projection	-	+	1.000000	112462	113658	1197	1197	399	1	0	1	0	1	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rps15:229	rps15	1	ribosomal protein S15	complement(120479..120757)	-	11	1	present_by_projection	-	+	1.000000	112107	112385	279	279	93	2	1	1	0	1	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:ycf1:232	ycf1	1	hypothetical chloroplast RF19	complement(125891..126106)	-	11	1	present_by_projection	+	-	1.000000	125378	125593	216	216	72	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rps7:252	rps7	2	ribosomal protein S7	137101..137568	+	11	1	present_by_projection	+	+	1.000000	136588	137055	468	468	156	1	0	1	0	1	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:ndhB:254	ndhB	2	NADH-plastoquinone oxidoreductase subunit 2	join(137889..138665,139344..140099)	+	11	1	present_by_projection	+	+	1.000000	137376	139586	1533	1533	511	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:ycf2:259	ycf2	2	hypothetical chloroplast RF21	complement(141727..148488)	-	11	1	present_by_projection	+	-	1.000000	141212	147982	6762	6762	2254	9	2	4	1	5	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rpl23:263	rpl23	2	ribosomal protein L23	148821..149102	+	11	1	present_by_projection	+	+	1.000000	148315	148596	282	282	94	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
CDS:rpl2:265	rpl2	2	ribosomal protein L2	join(149126..149516,150183..150616)	+	11	1	present_by_projection	+	+	1.000000	148620	150110	825	825	275	0	0	0	0	0	0	0	no	no	included_in_clean_syn_nonsyn_totals
